,genes,Tech,organ,cell_type,regulate,logFC,FDR
644,Prelp,ST,Kidney,Podocytes,Up,0.771717770049733,0.0003154840552663
645,Rtn1,ST,Kidney,Podocytes,Up,1.73600616076751,0.000316183493947
646,Plekho2,ST,Kidney,Podocytes,Up,1.09764280140015,0.0003188398016161
647,Bnip2,ST,Kidney,Podocytes,Up,0.873516685964836,0.0003258727653321
648,Vegfd,ST,Kidney,Podocytes,Up,1.0069070006146,0.0003258727653321
649,Hmx2,ST,Kidney,Podocytes,Down,-2.34077340763686,0.0003258727653321
650,Vwf,ST,Kidney,Podocytes,Up,1.86332652429004,0.0003258727653321
651,Kcne1,ST,Kidney,Podocytes,Down,-1.78265354570921,0.0003285226942423
652,Gatm,ST,Kidney,Podocytes,Down,-1.32480139928145,0.000333809926811
653,0610006L08Rik,ST,Kidney,Podocytes,Down,-1.20239604288871,0.0003345589122577
654,Lyz2,ST,Kidney,Podocytes,Up,1.40605202132598,0.0003365987303686
655,Pkd1,ST,Kidney,Podocytes,Up,1.1823528437545,0.0003365987303686
656,Rnaseh2b,ST,Kidney,Podocytes,Down,-1.09335692852346,0.000338810655856
657,Apoe,ST,Kidney,Podocytes,Up,0.835442305380695,0.0003564903739409
658,Csf1r,ST,Kidney,Podocytes,Up,1.02439286732744,0.0003713713308965
659,Iqcg,ST,Kidney,Podocytes,Down,-1.07112503471458,0.0003733151215271
660,Car4,ST,Kidney,Podocytes,Down,-1.12501675945798,0.0003801081258471
661,S1pr2,ST,Kidney,Podocytes,Up,1.31868995800285,0.0003862789050535
662,Ccdc58,ST,Kidney,Podocytes,Down,-0.803742276043107,0.0004241412946671
663,Pld4,ST,Kidney,Podocytes,Up,1.48785951372722,0.0004550224389401
664,Fxyd5,ST,Kidney,Podocytes,Up,1.38525800053939,0.0004870508784026
665,Tbc1d9,ST,Kidney,Podocytes,Up,1.3351666583906,0.000497701838433
666,Inf2,ST,Kidney,Podocytes,Up,1.18780616096232,0.0005053122148679
667,Asb9,ST,Kidney,Podocytes,Down,-1.12255869431701,0.0005184897666419
668,Oxgr1,ST,Kidney,Podocytes,Down,-1.66243156909607,0.0005246168791572
669,Miox,ST,Kidney,Podocytes,Down,-1.5341227947941,0.0005374208900928
670,Tnfaip8,ST,Kidney,Podocytes,Down,-0.993039738905112,0.0005407406441782
671,Ptgds,ST,Kidney,Podocytes,Up,2.83722358490044,0.0005791290234251
672,Col18a1,ST,Kidney,Podocytes,Up,0.69412170426197,0.0005829447787244
673,Hcls1,ST,Kidney,Podocytes,Up,1.41778280093425,0.0005950506456105
674,Slc34a3,ST,Kidney,Podocytes,Down,-1.82004937665065,0.0006167954228207
675,Flna,ST,Kidney,Podocytes,Up,0.796432812872435,0.0006167954228207
676,Atp6v1g3,ST,Kidney,Podocytes,Down,-0.716225467076554,0.000624833696863
677,Spon1,ST,Kidney,Podocytes,Up,1.83917591496419,0.0006263219524893
678,Serpinb6a,ST,Kidney,Podocytes,Up,1.38389261423913,0.0006263219524893
679,Acvrl1,ST,Kidney,Podocytes,Up,0.814925793740987,0.0006534917909896
680,Fbln7,ST,Kidney,Podocytes,Up,0.745871855145645,0.0006538362835517
681,H2-DMb1,ST,Kidney,Podocytes,Up,1.00200591368486,0.0006538362835517
682,Slc7a8,ST,Kidney,Podocytes,Down,-1.48130461379585,0.0006538362835517
683,Cela1,ST,Kidney,Podocytes,Down,-1.30888871394019,0.0006569175025537
684,Ces1e,ST,Kidney,Podocytes,Down,-1.76950885148461,0.0006772569986679
685,Krt19,ST,Kidney,Podocytes,Up,2.31435281973531,0.0006906452401569
686,Lfng,ST,Kidney,Podocytes,Up,1.42024849201863,0.0007082985319306
687,Lst1,ST,Kidney,Podocytes,Up,1.22574812164227,0.0007282171878097
688,Fbln1,ST,Kidney,Podocytes,Up,1.46616610410658,0.0007940859877285
689,Snhg11,ST,Kidney,Podocytes,Up,1.24884542560651,0.0008074631642269
690,Slc22a29,ST,Kidney,Podocytes,Down,-1.06500098921399,0.0008223753970707
691,Dclk2,ST,Kidney,Podocytes,Up,1.20507658001013,0.0008490864968764
692,Sema3f,ST,Kidney,Podocytes,Up,1.04788852257805,0.0008490864968764
693,Olfm3,ST,Kidney,Podocytes,Down,-1.0237379210597,0.0008646520550421
694,Mgat3,ST,Kidney,Podocytes,Down,-0.977701204539148,0.0008716715559175
695,Slc16a12,ST,Kidney,Podocytes,Down,-0.876681571719853,0.0008878630648881
696,Echdc1,ST,Kidney,Podocytes,Down,-0.705462828077328,0.0008878630648881
697,Stard4,ST,Kidney,Podocytes,Down,-0.825885928640078,0.0009265107586693
698,Jchain,ST,Kidney,Podocytes,Up,2.12104412162779,0.0009588604715901
699,Cks2,ST,Kidney,Podocytes,Down,-1.53892265334082,0.0010170324941931
700,Nmrk1,ST,Kidney,Podocytes,Down,-1.44020132447464,0.0010170324941931
701,Fes,ST,Kidney,Podocytes,Up,1.00224553106051,0.0010170324941931
702,Dtx4,ST,Kidney,Podocytes,Up,0.771289583931228,0.0010480511212621
703,Pdgfc,ST,Kidney,Podocytes,Down,-0.817925837899238,0.0010825078762362
704,Sytl4,ST,Kidney,Podocytes,Up,1.15513400203897,0.0010899024399692
705,Aldh1a2,ST,Kidney,Podocytes,Up,0.866834559965914,0.0010976479961269
706,Plekha2,ST,Kidney,Podocytes,Up,0.73632130237784,0.0011057315249834
707,Gm1673,ST,Kidney,Podocytes,Up,1.60770930493918,0.0011212925981273
708,D030045P18Rik,ST,Kidney,Podocytes,Up,1.59854721371994,0.0011833293815887
709,Bcam,ST,Kidney,Podocytes,Up,0.904027395492937,0.0012173875387211
710,Trim30a,ST,Kidney,Podocytes,Up,1.58802114293578,0.0012578124324227
711,Rasa4,ST,Kidney,Podocytes,Up,0.921502986630859,0.0012612097835674
712,Thy1,ST,Kidney,Podocytes,Up,1.2538179951134,0.0012700411974954
713,Litaf,ST,Kidney,Podocytes,Up,1.0241621249006,0.0012707220020495
714,Elf4,ST,Kidney,Podocytes,Up,1.30126915006258,0.0012707220020495
715,Cd24a,ST,Kidney,Podocytes,Up,1.0714450332303,0.0012950005987035
716,Flt3l,ST,Kidney,Podocytes,Up,1.00541752824977,0.0013473235850683
717,Arhgap45,ST,Kidney,Podocytes,Up,1.19535741171845,0.0013675833710971
718,Frzb,ST,Kidney,Podocytes,Up,1.99262478833784,0.0014114982643045
719,Coro1a,ST,Kidney,Podocytes,Up,0.905837746249396,0.0014915351099859
720,Cpxm1,ST,Kidney,Podocytes,Up,0.945728494872938,0.0015721525402039
721,Birc3,ST,Kidney,Podocytes,Up,0.899583842614697,0.0015886601251858
722,Itpr3,ST,Kidney,Podocytes,Up,1.19616977903458,0.0015886601251858
723,Arrb1,ST,Kidney,Podocytes,Up,0.816582554054783,0.0015961960834728
724,Igha,ST,Kidney,Podocytes,Up,3.09527444866274,0.0016599194745658
725,Igkc,ST,Kidney,Podocytes,Up,2.90079783427319,0.0017120963319739
726,Neat1,ST,Kidney,Podocytes,Up,0.843154953551537,0.0017470060232119
727,Nat8f3,ST,Kidney,Podocytes,Down,-1.42678642572019,0.0017767424639524
728,Ropn1l,ST,Kidney,Podocytes,Down,-0.89608038039291,0.001787983845133
729,Yars2,ST,Kidney,Podocytes,Down,-1.08632739274067,0.00180194365928
730,Axl,ST,Kidney,Podocytes,Up,0.68716918300261,0.0018321819476717
731,Bgn,ST,Kidney,Podocytes,Up,1.12756383525411,0.0018647030127028
732,Sphk1,ST,Kidney,Podocytes,Up,1.27574339506544,0.001895216464978
733,Tnip1,ST,Kidney,Podocytes,Up,0.717723953173735,0.0019007928046244
734,Mpzl2,ST,Kidney,Podocytes,Down,-0.723161731010811,0.0019349778196859
735,Slc26a4,ST,Kidney,Podocytes,Down,-1.15654993940598,0.0019477505571025
736,Acot3,ST,Kidney,Podocytes,Down,-1.13957904143142,0.0019957162159781
737,Sectm1b,ST,Kidney,Podocytes,Down,-1.48842729855287,0.0020005031959583
738,Tgfbi,ST,Kidney,Podocytes,Up,0.710567525410711,0.0020624707563342
739,Icosl,ST,Kidney,Podocytes,Up,0.820311400004321,0.0022267350951585
740,Map1b,ST,Kidney,Podocytes,Up,1.21604726082365,0.0023709652950835
741,Pdss1,ST,Kidney,Podocytes,Down,-0.995870293464166,0.0025246856557521
742,Pou2f2,ST,Kidney,Podocytes,Up,2.02628992133242,0.0025375348194811
743,Slc4a11,ST,Kidney,Podocytes,Up,2.82053408581395,0.0025805080818127
744,Aoc1,ST,Kidney,Podocytes,Up,1.25893119456939,0.0026298864281062
745,Arrdc1,ST,Kidney,Podocytes,Up,0.873486455758953,0.0026364962641622
746,Afmid,ST,Kidney,Podocytes,Down,-1.26023500997302,0.0026470098237914
747,Atp6v1b1,ST,Kidney,Podocytes,Down,-0.633438864733508,0.0027312867312118
748,Spag5,ST,Kidney,Podocytes,Up,1.96647021681002,0.0028777861642043
749,Lpar3,ST,Kidney,Podocytes,Down,-1.46219569648515,0.0029222061250937
750,Fkbp5,ST,Kidney,Podocytes,Up,0.896440434899887,0.003070912926813
751,Hmgn2,ST,Kidney,Podocytes,Down,-1.51162521147802,0.0030880296418025
752,Htr1b,ST,Kidney,Podocytes,Up,2.22735497563377,0.0031098797060405
753,Mttp,ST,Kidney,Podocytes,Down,-0.829519816961663,0.0031381544428353
754,Serpina10,ST,Kidney,Podocytes,Up,2.24199256529782,0.003146416035099
755,Igsf11,ST,Kidney,Podocytes,Down,-0.857482948615475,0.0031603058674558
756,Dhrs7,ST,Kidney,Podocytes,Down,-0.883527970294254,0.003162556301923
757,Rrbp1,ST,Kidney,Podocytes,Up,0.660341348012017,0.0032061343850309
758,Mpeg1,ST,Kidney,Podocytes,Up,0.710400652209236,0.0032362965242989
759,Efemp2,ST,Kidney,Podocytes,Up,0.757502665219874,0.0032390106758872
760,Slc51a,ST,Kidney,Podocytes,Down,-1.03592705620486,0.0032390106758872
761,Adra1b,ST,Kidney,Podocytes,Up,1.43005373781018,0.0032704203724973
762,Defb42,ST,Kidney,Podocytes,Up,1.86463551191552,0.003279017921645
763,Psph,ST,Kidney,Podocytes,Down,-0.866407836583552,0.0033158495740806
764,Grem2,ST,Kidney,Podocytes,Up,1.79051172977578,0.0033308906263214
765,Sms,ST,Kidney,Podocytes,Down,-0.778816296334604,0.0035872676008782
766,Rcsd1,ST,Kidney,Podocytes,Up,0.811220437465395,0.0036257675845062
767,Wbp1l,ST,Kidney,Podocytes,Up,0.647175838817142,0.0036560960312627
768,Angptl3,ST,Kidney,Podocytes,Up,1.01265500489528,0.0037148382604958
769,Rac2,ST,Kidney,Podocytes,Up,0.75772161682078,0.0037522773165179
770,Serping1,ST,Kidney,Podocytes,Up,0.879854183363243,0.003756977847693
771,Slfn2,ST,Kidney,Podocytes,Up,0.675120837133916,0.0039070668738013
772,Adamts2,ST,Kidney,Podocytes,Up,1.04118373012306,0.0039806332280132
773,Osr2,ST,Kidney,Podocytes,Down,-0.933617995174466,0.0040235491227321
774,Plec,ST,Kidney,Podocytes,Up,0.798389022672148,0.0041028640901142
775,1810024B03Rik,ST,Kidney,Podocytes,Down,-0.823399432114235,0.0042607998928589
776,Dpysl3,ST,Kidney,Podocytes,Up,1.19184455316735,0.0042793632318278
777,Atp23,ST,Kidney,Podocytes,Down,-1.10241063324083,0.004287145212089
778,Ifitm1,ST,Kidney,Podocytes,Up,1.3638712765359,0.0043825593763871
779,Sytl2,ST,Kidney,Podocytes,Up,0.773479746784373,0.0044450740643815
780,Apoa2,ST,Kidney,Podocytes,Down,-0.70085855166454,0.004485847672924
781,Akr1e1,ST,Kidney,Podocytes,Down,-0.567925610183984,0.0048936817748127
782,Slc5a2,ST,Kidney,Podocytes,Down,-1.36029417294182,0.0048936817748127
783,Tmem45a,ST,Kidney,Podocytes,Up,1.21962471440883,0.0049729903119684
784,Cav1,ST,Kidney,Podocytes,Down,-0.974866589019051,0.0050756182890032
785,Arhgef25,ST,Kidney,Podocytes,Up,0.800636459889997,0.0050756182890032
786,H2-Ab1,ST,Kidney,Podocytes,Up,0.820315058790842,0.0051162470330617
787,Fut8,ST,Kidney,Podocytes,Down,-0.660830524015942,0.0051425312470321
788,Mob3a,ST,Kidney,Podocytes,Up,0.809886886852057,0.0051868589162067
789,Ighm,ST,Kidney,Podocytes,Up,2.69958052065476,0.0052155720056284
790,Pcdh12,ST,Kidney,Podocytes,Up,0.655048702092071,0.0052355053550815
791,Cxcl16,ST,Kidney,Podocytes,Up,0.755153885642729,0.0052660222297434
792,Muc20,ST,Kidney,Podocytes,Up,2.17949078160772,0.0053402505478051
793,Scin,ST,Kidney,Podocytes,Up,1.07437827032478,0.0054219510984535
794,Tcirg1,ST,Kidney,Podocytes,Up,1.37599963458953,0.0054219510984535
795,Ptpn18,ST,Kidney,Podocytes,Up,0.855713527735548,0.0055435712642388
796,Hacd1,ST,Kidney,Podocytes,Down,-0.934759862540593,0.0055638349217841
797,Smoc2,ST,Kidney,Podocytes,Up,1.32898910432053,0.0055678253629607
798,Mrc1,ST,Kidney,Podocytes,Up,0.945842448499758,0.0055952954128612
799,Vldlr,ST,Kidney,Podocytes,Down,-0.672937838548273,0.0056573115041582
800,Col15a1,ST,Kidney,Podocytes,Up,0.580447660733397,0.0056635248740474
801,Rcn3,ST,Kidney,Podocytes,Up,0.631836888283402,0.0060168487424209
802,Rnf152,ST,Kidney,Podocytes,Down,-0.700270016337403,0.0061315716098454
803,Slc22a8,ST,Kidney,Podocytes,Down,-1.58800188391571,0.0061389500810614
804,Il4ra,ST,Kidney,Podocytes,Up,0.805538697120206,0.0061833537108645
805,Sp110,ST,Kidney,Podocytes,Up,1.02079798586395,0.0062883073935066
806,Timm9,ST,Kidney,Podocytes,Down,-1.03813575447151,0.0063457553005058
807,Glipr2,ST,Kidney,Podocytes,Up,0.800793964338928,0.0064295821390811
808,Dnajc6,ST,Kidney,Podocytes,Down,-0.620120811631636,0.0065747375285129
809,Uba7,ST,Kidney,Podocytes,Up,0.76148504833975,0.0066539472282984
810,Ace2,ST,Kidney,Podocytes,Down,-0.880348763069421,0.0066539472282984
811,Ripor3,ST,Kidney,Podocytes,Up,0.785611477719052,0.0067284517132206
812,B4galnt1,ST,Kidney,Podocytes,Up,1.5605393310683,0.0069438984176199
813,Agxt2,ST,Kidney,Podocytes,Down,-0.945239253928377,0.0071970536299977
814,Prkcb,ST,Kidney,Podocytes,Up,1.27748980073649,0.0072024537025488
815,S100a4,ST,Kidney,Podocytes,Up,1.33018051613795,0.0072715920001202
816,1700016C15Rik,ST,Kidney,Podocytes,Up,1.13380326717728,0.0073422989175959
817,Apobec3,ST,Kidney,Podocytes,Up,0.720378502620473,0.007392220495114
818,Lamb2,ST,Kidney,Podocytes,Up,0.763140484416505,0.0076323759515954
819,Fat1,ST,Kidney,Podocytes,Up,1.10120895017805,0.0076328200203217
820,Relb,ST,Kidney,Podocytes,Up,0.842561521398504,0.0076328200203217
821,Fam185a,ST,Kidney,Podocytes,Down,-0.707273153548854,0.0076364425053939
822,Cyp2d12,ST,Kidney,Podocytes,Up,1.40904559009392,0.0079183860223152
823,Rgs19,ST,Kidney,Podocytes,Up,1.03272103894671,0.0080168450842073
824,Cd44,ST,Kidney,Podocytes,Up,1.52794046475194,0.0082085358955919
825,Tmem42,ST,Kidney,Podocytes,Down,-0.800010285793324,0.0083957975582024
826,Cyp2d9,ST,Kidney,Podocytes,Up,1.46407001298933,0.0083970366600272
827,Trf,ST,Kidney,Podocytes,Up,0.746098235907883,0.008605561739932
828,Ubash3b,ST,Kidney,Podocytes,Up,0.955428429043542,0.008700537351942
829,Scn1b,ST,Kidney,Podocytes,Up,0.798676795092369,0.0087192997232606
830,Lum,ST,Kidney,Podocytes,Up,1.49957510129583,0.0087590600070881
831,Xrcc5,ST,Kidney,Podocytes,Down,-0.758352503141111,0.0088909564954408
832,Icam1,ST,Kidney,Podocytes,Up,0.648160544295792,0.0089239162273218
833,Arrb2,ST,Kidney,Podocytes,Up,0.694386121734896,0.0089418405442099
834,Hlf,ST,Kidney,Podocytes,Down,-0.573393242219222,0.0090369737084487
835,Skap1,ST,Kidney,Podocytes,Up,1.65778623593172,0.009146789931012
836,Flot1,ST,Kidney,Podocytes,Up,0.569601098423604,0.0095552369852308
837,Lox,ST,Kidney,Podocytes,Up,1.41013900126805,0.0096483520713197
838,Tbx2,ST,Kidney,Podocytes,Down,-0.649072096667182,0.0098345403542409
839,Ccl19,ST,Kidney,Podocytes,Up,1.00057172633935,0.0107387100288707
840,Phyhipl,ST,Kidney,Podocytes,Down,-0.743997144645726,0.0108168689627488
841,C1qb,ST,Kidney,Podocytes,Up,1.06737129424246,0.0108557779031129
842,Degs2,ST,Kidney,Podocytes,Down,-0.846155281590244,0.0108557779031129
843,Gm42067,ST,Kidney,Podocytes,Down,-0.612966213617096,0.0109280196415506
844,Inpp5d,ST,Kidney,Podocytes,Up,1.15873939796384,0.0110107434297405
845,Tnxb,ST,Kidney,Podocytes,Up,1.12998859915449,0.0110389785201698
846,Serpinb1a,ST,Kidney,Podocytes,Down,-0.83416470463778,0.0110389785201698
847,Fam136a,ST,Kidney,Podocytes,Down,-0.533116186050791,0.011226385158118
848,Ciita,ST,Kidney,Podocytes,Up,1.3515100196374,0.0113048308882084
849,Acss1,ST,Kidney,Podocytes,Down,-0.775176421832193,0.0119634633509727
850,Tagln,ST,Kidney,Podocytes,Up,0.725538167389669,0.0119786662335071
851,Habp2,ST,Kidney,Podocytes,Down,-0.954311866146592,0.0120809729951484
852,Atp8b4,ST,Kidney,Podocytes,Up,1.14172072180408,0.0122813364092362
853,Ccl5,ST,Kidney,Podocytes,Up,0.685962617997829,0.0125032938220473
854,Ptpre,ST,Kidney,Podocytes,Up,0.950630195892807,0.0126237271854579
855,Atf5,ST,Kidney,Podocytes,Up,0.585386967747702,0.0128927932038924
856,Hoxb5os,ST,Kidney,Podocytes,Down,-0.788759907830649,0.0130750530827161
857,Fyb,ST,Kidney,Podocytes,Up,0.514182110712639,0.0131528367061969
858,Ptgis,ST,Kidney,Podocytes,Up,0.814726501853683,0.0131655451134952
859,Rrad,ST,Kidney,Podocytes,Up,0.770719850633711,0.0135207925815927
860,Uchl1,ST,Kidney,Podocytes,Up,1.06240482848622,0.0135219952999703
861,Lamc3,ST,Kidney,Podocytes,Up,0.728035479327685,0.0135895410430597
862,Pla2g15,ST,Kidney,Podocytes,Up,0.78555554658311,0.0137181224890165
863,Setd4,ST,Kidney,Podocytes,Up,1.03688752404906,0.0137287286732593
864,Matn2,ST,Kidney,Podocytes,Up,0.787633759369825,0.0142006054158294
865,Npy1r,ST,Kidney,Podocytes,Up,1.81189510360132,0.0142224154862348
866,Pkm,ST,Kidney,Podocytes,Up,1.00002972731827,0.0143549111451552
867,Fzd5,ST,Kidney,Podocytes,Down,-0.782830136974021,0.0145257191086418
868,Acyp1,ST,Kidney,Podocytes,Down,-1.27254936621257,0.0145850467359702
869,Oasl2,ST,Kidney,Podocytes,Up,0.868541082818905,0.0147079578955736
870,Csrp1,ST,Kidney,Podocytes,Up,0.583074872778295,0.0147331436342277
871,Dync1h1,ST,Kidney,Podocytes,Up,0.678858874875906,0.0147956965054859
872,Glrx,ST,Kidney,Podocytes,Down,-0.927553299020361,0.014862920684137
873,Runx1,ST,Kidney,Podocytes,Up,1.35245534711499,0.0150619763273427
874,Rasgef1b,ST,Kidney,Podocytes,Up,1.37736742134937,0.0157786048618288
875,Lrrk1,ST,Kidney,Podocytes,Up,0.759362760890003,0.015898989615844
876,Sulf1,ST,Kidney,Podocytes,Up,1.02245280146747,0.0163409275454175
877,Fcgr4,ST,Kidney,Podocytes,Up,1.29262268796773,0.0166062940015471
878,Nisch,ST,Kidney,Podocytes,Up,0.541116971551152,0.0176049142005043
879,Timp2,ST,Kidney,Podocytes,Up,0.627399619702208,0.017791578866787
880,Hsd11b2,ST,Kidney,Podocytes,Down,-1.38543653340513,0.0178333242032351
881,Cd74,ST,Kidney,Podocytes,Up,1.2706886387204,0.0178333242032351
882,Tnc,ST,Kidney,Podocytes,Up,1.54841309136636,0.0178611471462812
883,Cd93,ST,Kidney,Podocytes,Up,0.724209731609366,0.0179222472644643
884,Slc34a1,ST,Kidney,Podocytes,Down,-0.798244823154307,0.0183640071172964
885,Mrps31,ST,Kidney,Podocytes,Down,-0.641353925190547,0.0184211710661393
886,Galnt15,ST,Kidney,Podocytes,Up,0.934684154105842,0.0184543985953507
887,Crlf1,ST,Kidney,Podocytes,Up,2.04847070881463,0.0184645252953326
888,Esam,ST,Kidney,Podocytes,Up,0.803662194433415,0.0188123056369984
889,Abca7,ST,Kidney,Podocytes,Up,1.11272772186066,0.0188123056369984
890,Bmp1,ST,Kidney,Podocytes,Up,0.801744981441523,0.0190513208405703
891,Gpihbp1,ST,Kidney,Podocytes,Up,0.938791178336247,0.0190513208405703
892,Kl,ST,Kidney,Podocytes,Down,-1.57242710826312,0.0190513208405703
893,Spidr,ST,Kidney,Podocytes,Up,0.543114350593558,0.0191451821391234
894,Cmtm8,ST,Kidney,Podocytes,Down,-0.650514543645967,0.0198319241133466
895,Cpm,ST,Kidney,Podocytes,Down,-0.539836895837547,0.0198854510268323
896,Pltp,ST,Kidney,Podocytes,Up,0.615462232488169,0.0198854510268323
897,Wfdc17,ST,Kidney,Podocytes,Up,0.883695124082686,0.0201140947153932
898,Dnajc28,ST,Kidney,Podocytes,Down,-0.702346268606342,0.0203183454569138
899,Slc18a1,ST,Kidney,Podocytes,Down,-0.695355484249385,0.020769886169535
900,Lrg1,ST,Kidney,Podocytes,Up,1.20064441422259,0.020769886169535
901,Cx3cr1,ST,Kidney,Podocytes,Up,0.91337524787069,0.0214362817747314
902,Hsd17b14,ST,Kidney,Podocytes,Up,1.04884877976965,0.0219386258215181
903,Ddr2,ST,Kidney,Podocytes,Up,0.964976262686896,0.0224977938283003
904,Dcdc2a,ST,Kidney,Podocytes,Up,0.964766097848637,0.0229273591229832
905,Pvalb,ST,Kidney,Podocytes,Down,-0.801441189232724,0.0232418061601075
906,Ces2e,ST,Kidney,Podocytes,Up,1.15509592840706,0.0236259400881953
907,Clec2h,ST,Kidney,Podocytes,Down,-1.10760128675092,0.0239011044645143
908,Mrpl47,ST,Kidney,Podocytes,Down,-0.623972617857105,0.0239011044645143
909,Uroc1,ST,Kidney,Podocytes,Down,-0.753642607408522,0.0239011044645143
910,Apip,ST,Kidney,Podocytes,Down,-0.648654354289223,0.0241364262658991
911,Samd4,ST,Kidney,Podocytes,Up,0.938604772702611,0.0241421198074975
912,Cybb,ST,Kidney,Podocytes,Up,0.674749759265547,0.0241912916343492
913,Egfl7,ST,Kidney,Podocytes,Up,0.572256443413986,0.0243181067521966
914,St3gal5,ST,Kidney,Podocytes,Up,0.558996368424967,0.0246959815140201
915,Arhgap15,ST,Kidney,Podocytes,Up,1.44442163950135,0.0250968382619592
916,Il33,ST,Kidney,Podocytes,Up,0.550395926199472,0.0251051466551716
917,Slc22a23,ST,Kidney,Podocytes,Down,-0.65045835621466,0.0251514049780511
918,Fcgr3,ST,Kidney,Podocytes,Up,0.734193007122558,0.0260653432267391
919,Trp53i11,ST,Kidney,Podocytes,Up,0.675625337657925,0.0261321612065423
920,Sult1c2,ST,Kidney,Podocytes,Down,-0.51496889240679,0.027107137609616
921,Ptger4,ST,Kidney,Podocytes,Up,0.782896521383347,0.027107137609616
922,Kcnab1,ST,Kidney,Podocytes,Up,1.43382400107388,0.0273709879339424
923,Man1c1,ST,Kidney,Podocytes,Up,0.755660802538971,0.0275462047486368
924,Tmem39b,ST,Kidney,Podocytes,Down,-0.679995236325146,0.0278950049707048
925,Slc6a6,ST,Kidney,Podocytes,Up,1.23984842594853,0.0278950049707048
926,Kctd10,ST,Kidney,Podocytes,Up,0.529705827645533,0.0281984039594845
927,Rpf2,ST,Kidney,Podocytes,Down,-0.734427585075948,0.0285218983521332
928,Wdr72,ST,Kidney,Podocytes,Down,-0.535740137935376,0.0285666354469505
929,Hrct1,ST,Kidney,Podocytes,Up,0.844615425293563,0.0291837893033588
930,Gpr182,ST,Kidney,Podocytes,Up,0.752406887153266,0.0293421642136692
931,Fosl2,ST,Kidney,Podocytes,Up,0.751951135095358,0.0305682196554467
932,Ehmt2,ST,Kidney,Podocytes,Up,0.789073790192593,0.0311738554085209
933,Rftn1,ST,Kidney,Podocytes,Up,0.851414585124758,0.0314947935098554
934,Bok,ST,Kidney,Podocytes,Up,0.545995096801868,0.032108575851647
935,Emc10,ST,Kidney,Podocytes,Up,1.3397742958794,0.032108575851647
936,Ift57,ST,Kidney,Podocytes,Down,-0.639355644977447,0.0327151772399841
937,Gm42047,ST,Kidney,Podocytes,Up,1.97290790636283,0.0327151772399841
938,Stat3,ST,Kidney,Podocytes,Up,0.581573265249215,0.0328297237634735
939,B3galnt1,ST,Kidney,Podocytes,Down,-0.738517638869133,0.0331957792023749
940,Avpr1a,ST,Kidney,Podocytes,Down,-0.873648444233299,0.0332673608645446
941,Ccl6,ST,Kidney,Podocytes,Up,0.753025918656989,0.0339589904607799
942,Alg2,ST,Kidney,Podocytes,Down,-0.753990848487774,0.0342661302036566
943,Asl,ST,Kidney,Podocytes,Down,-0.630587638929072,0.0352861325805468
944,Nudt2,ST,Kidney,Podocytes,Down,-0.812710131214209,0.0352962039811451
945,St6galnac4,ST,Kidney,Podocytes,Up,0.917326366336142,0.0353325144044382
946,Gdf15,ST,Kidney,Podocytes,Up,1.67410571928874,0.0367544810390724
947,C1ra,ST,Kidney,Podocytes,Up,0.511162301368848,0.0368245840963366
948,Tstd3,ST,Kidney,Podocytes,Down,-0.672062526173521,0.0369373906290568
949,Ppp1r18,ST,Kidney,Podocytes,Up,0.604947537859584,0.037974707349091
950,Pdlim7,ST,Kidney,Podocytes,Up,0.696442971422745,0.0380429550639028
951,Nabp1,ST,Kidney,Podocytes,Down,-0.591804725214687,0.038101080122987
952,Eif6,ST,Kidney,Podocytes,Up,1.07370422374907,0.0381779667526563
953,Insrr,ST,Kidney,Podocytes,Down,-1.13385141646958,0.0385459110817186
954,Eln,ST,Kidney,Podocytes,Up,0.638672839967115,0.0389346246487309
955,Tyrobp,ST,Kidney,Podocytes,Up,0.654001168349711,0.0390300662427976
956,Negr1,ST,Kidney,Podocytes,Up,1.05660858835369,0.0396567220075892
957,Pdp2,ST,Kidney,Podocytes,Down,-0.620704051577717,0.0403202328904621
958,Ass1,ST,Kidney,Podocytes,Down,-1.23851342140816,0.0404230863939792
959,Sprr1a,ST,Kidney,Podocytes,Up,1.91966367808819,0.0407482000143368
960,Cpne8,ST,Kidney,Podocytes,Up,1.02117617125813,0.0414254614458032
961,Slc4a9,ST,Kidney,Podocytes,Down,-1.07541752984133,0.0414487481290612
962,Ahnak,ST,Kidney,Podocytes,Up,0.778976711962279,0.0416301646584859
963,Tor3a,ST,Kidney,Podocytes,Up,0.718385370593163,0.0417164881438518
964,Gng2,ST,Kidney,Podocytes,Up,0.736674017121809,0.0421016777253285
965,Suox,ST,Kidney,Podocytes,Down,-0.883890758027716,0.0421327935972157
966,Sap30,ST,Kidney,Podocytes,Down,-0.776006423861329,0.0421580443495641
967,Clca3a1,ST,Kidney,Podocytes,Up,0.611296872950025,0.042424179000861
968,Pim1,ST,Kidney,Podocytes,Up,0.826762024000283,0.0425041259035896
969,Cp,ST,Kidney,Podocytes,Up,0.455340979820233,0.0436927650690857
970,Synpo2,ST,Kidney,Podocytes,Up,1.18433773357816,0.0440907119563507
971,H2-DMa,ST,Kidney,Podocytes,Up,0.455655476324562,0.044372501922448
972,Mical1,ST,Kidney,Podocytes,Up,0.695709365208266,0.0450662023263885
973,Kcnip3,ST,Kidney,Podocytes,Up,0.920889347178891,0.0454823618493182
974,Ly6e,ST,Kidney,Podocytes,Up,0.65984220676935,0.0455244818396543
