,genes,Tech,organ,cell_type,regulate,logFC,FDR
414,Dpep1,Vis,Heart,Cardiomyocytes,Up,0.837144008383819,0.0010311743566562
415,Ccr2,Vis,Heart,Cardiomyocytes,Up,1.62498459376684,0.0010407692363254
416,Ift81,Vis,Heart,Cardiomyocytes,Down,-0.688926304152435,0.0011262071922419
417,Pla1a,Vis,Heart,Cardiomyocytes,Up,0.654024795691864,0.0014375432936698
418,Fbxw7,Vis,Heart,Cardiomyocytes,Down,-0.60950186507852,0.0015940484017196
419,Sgk1,Vis,Heart,Cardiomyocytes,Up,0.692221953881012,0.0018635528142684
420,Trnp1,Vis,Heart,Cardiomyocytes,Up,0.916500091961482,0.0019241535249387
421,Rasl10b,Vis,Heart,Cardiomyocytes,Up,0.715722744944048,0.0021495346167552
422,Ccl5,Vis,Heart,Cardiomyocytes,Up,0.950440279855399,0.0021495346167552
423,C5ar1,Vis,Heart,Cardiomyocytes,Up,1.06305627145854,0.0024576315712431
424,Nrep,Vis,Heart,Cardiomyocytes,Down,-0.906910967556181,0.0024659225860914
425,Creld2,Vis,Heart,Cardiomyocytes,Down,-0.674298239469014,0.0024980190410814
426,Slc1a1,Vis,Heart,Cardiomyocytes,Up,1.045365068884,0.0028010302266314
427,Abcb4,Vis,Heart,Cardiomyocytes,Up,0.96656097582296,0.0032295938350508
428,Pde1c,Vis,Heart,Cardiomyocytes,Down,-0.68482834222922,0.0038465665442103
429,Pirb,Vis,Heart,Cardiomyocytes,Up,0.890003452688754,0.0038465665442103
430,Ppp1r3d,Vis,Heart,Cardiomyocytes,Down,-0.655795009173623,0.0043158887619618
431,Fam124a,Vis,Heart,Cardiomyocytes,Up,0.931457988075,0.004785062185965
432,Dnaja1,Vis,Heart,Cardiomyocytes,Down,-0.513377537074595,0.0053636217366132
433,Slc6a6,Vis,Heart,Cardiomyocytes,Up,1.13800956806246,0.0056580164351639
434,S100a8,Vis,Heart,Cardiomyocytes,Up,1.37109663724864,0.005665852461969
435,Acot1,Vis,Heart,Cardiomyocytes,Down,-1.14161541603515,0.005957555929475
436,Pfkfb1,Vis,Heart,Cardiomyocytes,Up,0.903846141580534,0.0060877000556453
437,Smtnl2,Vis,Heart,Cardiomyocytes,Down,-0.689378604057487,0.0066546962466387
438,Six5,Vis,Heart,Cardiomyocytes,Down,-0.631362656703309,0.0068246720287417
439,Fstl3,Vis,Heart,Cardiomyocytes,Up,0.646849650096504,0.0068246720287417
440,Krt80,Vis,Heart,Cardiomyocytes,Up,1.31240549211302,0.0068246720287417
441,Lrrc17,Vis,Heart,Cardiomyocytes,Down,-0.95724461184446,0.0077315596945482
442,Itgb6,Vis,Heart,Cardiomyocytes,Down,-1.05953501041645,0.0079072062919058
443,Ppp1r1b,Vis,Heart,Cardiomyocytes,Down,-1.20283356370242,0.0083978416725684
444,Col1a2,Vis,Heart,Cardiomyocytes,Down,-0.516072999493724,0.0088620627898093
445,Ptpru,Vis,Heart,Cardiomyocytes,Up,0.720648019035642,0.0092683018071654
446,Lyve1,Vis,Heart,Cardiomyocytes,Up,0.688629762958051,0.0093113283989718
447,Lgr6,Vis,Heart,Cardiomyocytes,Down,-0.776521958925839,0.0106979612363432
448,Serpinh1,Vis,Heart,Cardiomyocytes,Down,-0.477588489598253,0.0114095524419836
449,Helz2,Vis,Heart,Cardiomyocytes,Up,0.690184709627493,0.0114946919870758
450,Nova1,Vis,Heart,Cardiomyocytes,Up,1.63520135338477,0.0124939712714492
451,Icam1,Vis,Heart,Cardiomyocytes,Up,0.82116483737296,0.0124939712714492
452,Oas2,Vis,Heart,Cardiomyocytes,Up,0.99882459259718,0.0132170979251694
