,LR pairs,tech,organ,regulate,logFC,FDR
77,C3-Nrp1,Visium,Brain,Up,2.637196717,3.57880426056753e-05
78,Vegfa-Ptprz1,Visium,Brain,Up,0.540022338,3.95697495020203e-05
79,Ptprc-Mrc1,Visium,Brain,Up,1.653944099,4.51719482931734e-05
80,Mrc1-Ptprc,Visium,Brain,Up,1.653944099,4.51719482931734e-05
81,Vegfa-Gpc1,Visium,Brain,Up,0.532399433,4.87321976087644e-05
82,Ctsd-Lrp1,Visium,Brain,Up,0.443418472,7.19742279168056e-05
83,Vwf-Itgav,Visium,Brain,Up,0.656248054,7.24435865099553e-05
84,Ptn-Sdc1,Visium,Brain,Down,-0.647712029,7.3488412163329e-05
85,Adm-Calcrl,Visium,Brain,Up,1.050222226,7.37309222044387e-05
86,Angpt2-Itgb2,Visium,Brain,Up,1.406861587,7.4073974485032e-05
87,Serpine2-Plaur,Visium,Brain,Up,0.953554565,9.70190207140741e-05
88,Apoe-Vldlr,Visium,Brain,Up,0.416830231,9.71642301628262e-05
89,Lgals1-Ptprc,Visium,Brain,Up,0.985032545,0.000108276
90,Cd14-Ly96,Visium,Brain,Up,1.404772547,0.000111731
91,Vcan-Cd44,Visium,Brain,Up,1.09989999,0.000113328
92,Lta4h-Gpr17,Visium,Brain,Down,-0.711535802,0.000124425
93,Snca-Lag3,Visium,Brain,Up,0.650896098,0.000130687
94,F9-Lrp1,Visium,Brain,Up,1.308513212,0.000135762
95,Anxa2-Tlr2,Visium,Brain,Up,1.410793283,0.000155247
96,Bmp4-Rgmb,Visium,Brain,Down,-0.842716531,0.000168908
97,Hras-Tlr2,Visium,Brain,Up,0.664741497,0.000171031
98,Ccl27a-Ccr10,Visium,Brain,Down,-0.874875498,0.000183094
99,Lcn2-Slc22a17,Visium,Brain,Up,3.033353726,0.000188672
100,Cd14-Itgb1,Visium,Brain,Up,0.988825819,0.00019748
101,Sema4d-Ptprc,Visium,Brain,Up,0.983089838,0.000205005
102,Vegfa-Flt1,Visium,Brain,Up,0.502620583,0.00020509
103,Nectin3-Nectin3,Visium,Brain,Down,-0.612420914,0.000209616
104,Lgals9-Cd44,Visium,Brain,Up,1.149594703,0.000225184
105,Icam5-Itgb2,Visium,Brain,Up,0.62119303,0.000225329
106,Bmp4-Bmpr2,Visium,Brain,Down,-0.794520104,0.000341622
107,Mpzl1-Mpzl1,Visium,Brain,Down,-0.622531362,0.000363655
108,Serpine1-Vldlr,Visium,Brain,Up,1.306177812,0.000396039
109,Lgals9-Havcr2,Visium,Brain,Up,1.16061718,0.000397565
110,Ccl5-Gpr75,Visium,Brain,Up,1.324779383,0.000399336
111,Mif-Cd44,Visium,Brain,Up,0.576534333,0.000405353
112,Tfpi-F3,Visium,Brain,Up,0.697651044,0.000470218
113,Anxa2-Cd44,Visium,Brain,Up,1.091194492,0.000480255
114,Tgfb1-Tgfbr1,Visium,Brain,Up,0.727248619,0.000480255
115,Lama2-Cd44,Visium,Brain,Up,1.031276094,0.000510595
116,Ddc-Drd2,Visium,Brain,Down,-1.418130989,0.000551844
117,Npy-Fap,Visium,Brain,Down,-0.767656492,0.000556948
