,LR pairs,tech,organ,regulate,logFC,FDR
795,C3-C5ar2,STomics,Heart,Up,0.867578248,0.002524526
796,Col1a2-Sdc1,STomics,Heart,Down,-0.753707876,0.002524526
797,Gja5-Gja5,STomics,Heart,Down,-0.739647254,0.002524526
798,Sema5a-Plxnb3,STomics,Heart,Down,-1.26744304,0.002524526
799,Timp1-Cd63,STomics,Heart,Up,0.790913855,0.002574698
800,Cd226-Nectin2,STomics,Heart,Up,0.969814755,0.002676688
801,Nectin2-Cd226,STomics,Heart,Up,0.969814755,0.002676688
802,Col1a1-Ddr2,STomics,Heart,Down,-0.488121912,0.002703984
803,Spp1-Itgb1,STomics,Heart,Up,1.185266448,0.002735669
804,Plau-Itgb2,STomics,Heart,Up,1.352955535,0.002809681
805,Wnt5a-Ryk,STomics,Heart,Down,-0.697691087,0.002809681
806,Lama2-Itga2,STomics,Heart,Down,-0.848699483,0.002816986
807,Cd248-Il6ra,STomics,Heart,Up,0.631786476,0.002872239
808,Lrrc4b-Ptprs,STomics,Heart,Down,-0.776101561,0.00288693
809,Egf-Erbb3,STomics,Heart,Down,-1.183328667,0.003032847
810,Apod-Lepr,STomics,Heart,Up,1.039134418,0.003053833
811,Wnt5a-Notch1,STomics,Heart,Down,-0.529117792,0.003125279
812,Gdf15-Egfr,STomics,Heart,Up,1.547954683,0.003125279
813,Icam2-Itgam,STomics,Heart,Up,0.692820548,0.003175113
814,Wnt4-Wif1,STomics,Heart,Down,-1.623300005,0.003321063
815,Ncam1-Agrn,STomics,Heart,Down,-0.54861704,0.003543376
816,Bmp5-Bmpr1a,STomics,Heart,Down,-0.696957454,0.003588691
817,Gpc3-Cd81,STomics,Heart,Down,-0.567358144,0.00362755
818,C3-Cd19,STomics,Heart,Up,1.697511721,0.003708331
819,Fyn-Thy1,STomics,Heart,Up,0.624412359,0.003839256
820,S100a1-Ryr1,STomics,Heart,Up,0.857236952,0.003874333
821,Vcam1-Itga4,STomics,Heart,Up,0.971529062,0.003976009
822,Mdk-Lrp1,STomics,Heart,Down,-0.531101408,0.004051141
823,Spp1-Itgav,STomics,Heart,Up,1.41457897,0.004251895
824,Col1a1-Cd44,STomics,Heart,Down,-0.46341512,0.004310254
825,Efnb2-Epha4,STomics,Heart,Down,-0.463868063,0.004312548
826,Tln1-Itgb2,STomics,Heart,Up,0.481709277,0.004414042
827,Mdk-Lrp6,STomics,Heart,Down,-0.809797131,0.004414042
828,Bgn-Tlr2,STomics,Heart,Up,0.516026421,0.004414042
829,Calr-Itga3,STomics,Heart,Down,-0.633021505,0.004455635
830,Spp1-Cd44,STomics,Heart,Up,1.847148408,0.004605707
831,Vcam1-Itgad,STomics,Heart,Up,0.512362794,0.004686604
832,Cd84-Cd84,STomics,Heart,Up,1.336652651,0.004900293
833,Dpep1-Cysltr2,STomics,Heart,Up,2.751866946,0.005159306
834,Cxcl16-Cxcr6,STomics,Heart,Up,0.993875481,0.005291891
835,Ccl8-Ccr5,STomics,Heart,Up,1.981261179,0.005291891
836,Gzma-Pard3,STomics,Heart,Down,-1.390114245,0.005367457
837,Ptn-Ptprs,STomics,Heart,Down,-0.739987984,0.00537748
838,Inha-Acvr2a,STomics,Heart,Down,-0.68797946,0.005384915
839,Rtn2-Rtn4r,STomics,Heart,Down,-0.654569168,0.005582443
840,Hp-Itgb2,STomics,Heart,Up,1.752142229,0.005644885
841,Cxcl12-Itgb3,STomics,Heart,Up,0.540566407,0.005776041
842,Wnt5a-Fzd1,STomics,Heart,Down,-0.622965905,0.005919525
843,Rgma-Neo1,STomics,Heart,Down,-0.506879005,0.005947169
844,Gja3-Gja5,STomics,Heart,Down,-0.838007638,0.005996105
845,Cntn2-Nrp1,STomics,Heart,Up,0.742913697,0.006035381
846,Hp-Itgam,STomics,Heart,Up,1.409594394,0.006069281
847,Wnt9b-Wif1,STomics,Heart,Down,-1.253354823,0.006364905
848,Crlf1-Cntfr,STomics,Heart,Up,1.17077546,0.006427149
849,Il34-Ptprz1,STomics,Heart,Up,1.050073774,0.006696673
850,Comp-Itgb3,STomics,Heart,Up,0.900373315,0.006854383
851,Il34-Csf1r,STomics,Heart,Up,0.6591398,0.006854825
852,Fyn-Spn,STomics,Heart,Up,1.328975097,0.006856259
853,Lrrc4b-Ptprf,STomics,Heart,Down,-1.084297889,0.007032833
854,Il7-Il2rg,STomics,Heart,Up,1.264124114,0.007032833
855,Ptges-Ptger3,STomics,Heart,Up,1.982177504,0.007159616
856,Cx3cl1-Itgav,STomics,Heart,Up,0.549676241,0.007403171
857,Gas6-Mertk,STomics,Heart,Up,0.565719078,0.007535117
858,Cd14-C3ar1,STomics,Heart,Up,1.085066977,0.007535117
859,Il16-Kcnd2,STomics,Heart,Down,-0.545966185,0.007892774
860,C1qa-Cd33,STomics,Heart,Up,0.519933708,0.00793934
861,Wnt5a-Fzd8,STomics,Heart,Down,-0.661639514,0.00793934
862,Ptn-Ncl,STomics,Heart,Down,-0.680110223,0.007984954
863,Mdk-Ncl,STomics,Heart,Down,-0.55024038,0.008146422
864,Efnb3-Ephb4,STomics,Heart,Down,-0.845715169,0.008337357
865,Mdk-Sdc3,STomics,Heart,Down,-0.58636059,0.008403574
866,Gdf15-Ret,STomics,Heart,Up,1.47469642,0.008471698
867,Col6a6-Sdc1,STomics,Heart,Down,-0.720594114,0.008806266
868,Hp-Cd163,STomics,Heart,Up,1.305245802,0.008828136
869,Reln-Itgb3,STomics,Heart,Up,0.959745866,0.008945473
870,Gjc1-Gja5,STomics,Heart,Down,-0.57434284,0.009673503
871,Cxadr-Cxadr,STomics,Heart,Down,-0.657285061,0.009872628
872,Wnt5a-Fzd3,STomics,Heart,Down,-1.012414434,0.010248688
873,Shank1-Adgrl1,STomics,Heart,Up,1.111566835,0.010361716
874,Tgm2-Adgrg1,STomics,Heart,Up,0.525326647,0.010361716
875,Nrg1-Erbb3,STomics,Heart,Down,-0.781478903,0.010361716
876,Esam-Esam,STomics,Heart,Up,0.481873781,0.010441427
877,Ptgis-Ptgir,STomics,Heart,Up,0.683692887,0.010441427
878,Tnfsf10-Tnfrsf11b,STomics,Heart,Up,1.096652527,0.010714685
879,Wnt11-Wif1,STomics,Heart,Down,-1.068841537,0.010758255
880,Comp-Itgav,STomics,Heart,Up,0.454850646,0.011238597
881,Ccl11-Ccr2,STomics,Heart,Up,1.290599042,0.011238597
882,Wnt7b-Sfrp1,STomics,Heart,Up,1.432291693,0.011585996
883,Wnt11-Fzd6,STomics,Heart,Up,0.691235403,0.011661738
884,Calr-Tshr,STomics,Heart,Up,0.802912469,0.011902665
885,Cdh1-Fgfr1,STomics,Heart,Up,1.67911466,0.012170223
886,Vwf-Tnfrsf11b,STomics,Heart,Up,0.964844593,0.012170223
887,App-Fpr2,STomics,Heart,Up,1.159911323,0.01222522
888,Col1a2-Sdc4,STomics,Heart,Down,-0.487813952,0.012367875
889,Mdk-Itgb1,STomics,Heart,Down,-0.505494214,0.012493466
890,Wnt5a-Fzd7,STomics,Heart,Down,-0.589194647,0.012772826
891,Ntn4-Unc5a,STomics,Heart,Up,0.713267538,0.013325059
892,Efnb3-Ephb6,STomics,Heart,Down,-0.980114513,0.013418185
893,Nrg1-Erbb4,STomics,Heart,Down,-0.82251571,0.013505218
894,Col1a2-Itga2,STomics,Heart,Down,-1.120904904,0.01382474
895,Ptn-Sdc3,STomics,Heart,Down,-0.706599835,0.01382474
896,Fbn1-Itgb3,STomics,Heart,Up,0.577516273,0.01382474
897,Adam15-Itga9,STomics,Heart,Up,0.388179921,0.01382474
898,Lgals3-Itgb1,STomics,Heart,Up,0.547544249,0.013959162
899,Bdnf-Ntrk2,STomics,Heart,Down,-0.91412498,0.014199769
900,Efnb3-Ephb2,STomics,Heart,Down,-1.065816742,0.014485661
901,Mrc1-Ptprc,STomics,Heart,Up,0.728213408,0.014485661
902,Ptprc-Mrc1,STomics,Heart,Up,0.728213408,0.014485661
903,Dcn-Erbb4,STomics,Heart,Down,-0.438761713,0.014612096
904,Itgav-Thy1,STomics,Heart,Up,0.622076962,0.014722848
905,Apoe-Trem2,STomics,Heart,Up,0.620795748,0.014724707
906,Icam1-Itgax,STomics,Heart,Up,1.314131548,0.014847468
907,Lgals9-Clec7a,STomics,Heart,Up,0.870739525,0.01533102
908,Lgals3-Mag,STomics,Heart,Up,1.130354281,0.016754001
909,Slit1-Gpc1,STomics,Heart,Up,0.86311178,0.01719506
910,Vwf-Itgb3,STomics,Heart,Up,0.605051825,0.017296382
911,Ntn1-Unc5a,STomics,Heart,Up,0.57181183,0.017296382
912,Cxcl12-Cd4,STomics,Heart,Up,2.108156161,0.017724701
913,Ccl5-Ccr5,STomics,Heart,Up,1.048852295,0.0190626
914,Spp1-Itgb5,STomics,Heart,Up,1.082775293,0.019128265
915,Bmp10-Alk,STomics,Heart,Up,1.432130001,0.019136412
916,Vcam1-Itgb7,STomics,Heart,Up,0.906160114,0.019136412
917,Col1a1-Sdc4,STomics,Heart,Down,-0.43810108,0.019639503
918,Fn1-Itgb8,STomics,Heart,Down,-0.600977555,0.020297764
919,Mdk-Itga6,STomics,Heart,Down,-0.488001927,0.020600284
920,Mdk-Sdc2,STomics,Heart,Down,-0.603628544,0.021044065
921,Ccl25-Ackr4,STomics,Heart,Up,2.453325256,0.021125298
922,Il16-Cd4,STomics,Heart,Up,2.595094486,0.021233654
923,Ptma-Vipr1,STomics,Heart,Up,1.375532908,0.021601697
924,Retn-Cap1,STomics,Heart,Up,0.937761148,0.021668544
925,Thbs1-Vldlr,STomics,Heart,Down,-0.482684398,0.021668544
926,Cd200-Cd200r4,STomics,Heart,Up,1.069998714,0.021668544
927,Bgn-Fgfr3,STomics,Heart,Up,0.506567747,0.021668544
928,Ccl11-Ccr5,STomics,Heart,Up,1.206916575,0.022106014
929,Vtn-Tnfrsf11b,STomics,Heart,Up,0.959482724,0.022106014
930,Lama5-Dag1,STomics,Heart,Down,-0.391128099,0.022106014
931,Dsc2-Dsg2,STomics,Heart,Down,-0.634771781,0.022106014
932,Mdk-Notch2,STomics,Heart,Down,-0.585986697,0.022730536
933,Selplg-Sell,STomics,Heart,Up,2.274622148,0.022766704
934,Anxa2-Tlr2,STomics,Heart,Up,0.416400845,0.022853291
935,Vegfd-Nrp2,STomics,Heart,Up,0.512923523,0.02291914
936,Lamb1-Sv2a,STomics,Heart,Down,-0.538808541,0.023135516
937,C3-Itgax,STomics,Heart,Up,1.067768294,0.023256191
938,Nectin3-Nectin1,STomics,Heart,Down,-0.741015492,0.02364169
939,Nectin1-Nectin3,STomics,Heart,Down,-0.741015492,0.02364169
940,Sema3e-Nrp1,STomics,Heart,Up,0.830006684,0.025491674
941,Mdk-Sdc1,STomics,Heart,Down,-0.822449881,0.025772675
942,Vtn-Itgb3,STomics,Heart,Up,0.542493416,0.025772675
943,Ptn-Plxnb2,STomics,Heart,Down,-0.726553991,0.025772675
944,Col4a5-Sdc1,STomics,Heart,Down,-0.502132293,0.026129017
945,Adm-Ramp3,STomics,Heart,Up,0.637182868,0.026155598
946,Lamb1-Cd44,STomics,Heart,Down,-0.408761848,0.027186277
947,Angptl7-Pirb,STomics,Heart,Up,0.671480406,0.027563849
948,Egf-Erbb2,STomics,Heart,Down,-0.715826917,0.027696548
949,Tfpi-Vldlr,STomics,Heart,Down,-0.503048242,0.027782997
950,Lama5-Cd44,STomics,Heart,Down,-0.37921327,0.028216806
951,Negr1-Negr1,STomics,Heart,Down,-0.62481317,0.028614865
952,Jam2-Itga4,STomics,Heart,Up,0.595352942,0.028705006
953,Col3a1-Mag,STomics,Heart,Down,-0.935245568,0.02883934
954,Gnas-Vipr1,STomics,Heart,Up,1.016154907,0.02883934
955,Wnt5a-Sfrp1,STomics,Heart,Down,-0.472703139,0.029456327
956,Aplp2-Pigr,STomics,Heart,Down,-0.914992312,0.02948526
957,Wnt5a-Ror2,STomics,Heart,Down,-0.738803196,0.029669071
958,Lama5-Itgb4,STomics,Heart,Down,-0.552158485,0.029892027
959,Cx3cl1-Itgb1,STomics,Heart,Up,0.409700423,0.029892027
960,Lrfn4-Ptprf,STomics,Heart,Down,-0.605361814,0.031482956
961,Tnc-Sdc4,STomics,Heart,Up,1.118304706,0.031482956
962,Bsg-Itgb2,STomics,Heart,Up,0.469701185,0.031817475
963,Calm1-Adcy8,STomics,Heart,Up,0.866324026,0.03198329
964,Dkk2-Lrp6,STomics,Heart,Down,-1.058545365,0.032103519
965,Lpar2-Adgre5,STomics,Heart,Up,1.011866977,0.032604167
966,Rspo1-Lgr4,STomics,Heart,Down,-0.598083606,0.032604167
967,Cd14-Tlr3,STomics,Heart,Up,0.727038538,0.03266154
968,Trf-Tfr2,STomics,Heart,Down,-0.912889538,0.033016498
969,Ccl25-Ackr2,STomics,Heart,Up,1.138073254,0.033268423
970,Efna4-Epha4,STomics,Heart,Down,-1.067791948,0.033635214
971,Ccl2-Ccr2,STomics,Heart,Up,1.151620765,0.033764201
972,Col1a1-Itga2,STomics,Heart,Down,-0.925109414,0.034752698
973,Icam4-Itgb1,STomics,Heart,Down,-0.75268737,0.035049452
974,Cd14-Itga4,STomics,Heart,Up,0.856051173,0.035117331
975,Wnt10b-Fzd4,STomics,Heart,Up,1.055678555,0.035129246
976,Cntn2-Cntn2,STomics,Heart,Up,1.148468056,0.035261429
977,Col4a6-Itgb1,STomics,Heart,Down,-0.513015798,0.036322948
978,Lrfn4-Ptprd,STomics,Heart,Down,-0.534838943,0.036589701
979,Sult1a1-Ppard,STomics,Heart,Up,0.487601477,0.037249901
980,Tnf-Tnfrsf1b,STomics,Heart,Up,1.089646646,0.037249901
981,Grn-Tnfrsf1b,STomics,Heart,Up,0.37556889,0.037249901
982,Ccl5-Sdc1,STomics,Heart,Up,1.122759568,0.037249901
983,Wnt5a-Lrp5,STomics,Heart,Down,-0.518061266,0.037249901
984,Wnt2-Fzd8,STomics,Heart,Down,-0.854836262,0.037663581
985,Robo2-Robo2,STomics,Heart,Up,1.190597657,0.037757808
986,Adam17-Erbb4,STomics,Heart,Down,-0.600258128,0.038142794
987,Egf-Nrp1,STomics,Heart,Down,-0.487214768,0.038407771
988,Efnb3-Ephb1,STomics,Heart,Down,-0.845643033,0.038407771
989,Vegfd-Kdr,STomics,Heart,Up,0.415812163,0.038407771
990,Gnas-Gcgr,STomics,Heart,Down,-1.622342562,0.038610695
991,Wnt5a-Ror1,STomics,Heart,Down,-0.623264257,0.038661947
992,Fn1-Sdc1,STomics,Heart,Down,-0.571193291,0.039232963
993,Bmp5-Hjv,STomics,Heart,Down,-0.469765081,0.039251228
994,Ccn2-Fgfr2,STomics,Heart,Up,0.486396429,0.039973615
995,Lair1-Lilrb4b,STomics,Heart,Up,0.989559428,0.040679258
996,Lefty1-Acvr1b,STomics,Heart,Down,-0.622350957,0.040711
997,Angptl1-Tek,STomics,Heart,Down,-0.663195409,0.040836829
998,Ltc4s-Cysltr1,STomics,Heart,Up,0.803917548,0.040882616
999,Wnt5a-Fzd5,STomics,Heart,Down,-0.77011705,0.042509592
1000,Thbs1-Itga5,STomics,Heart,Down,-0.53733295,0.042678376
1001,Il16-Grin2d,STomics,Heart,Up,0.989624168,0.042678376
1002,Wnt4-Sfrp1,STomics,Heart,Up,0.844548079,0.042875474
1003,Apln-Aplnr,STomics,Heart,Down,-0.535213484,0.044118606
1004,Tgfa-Erbb2,STomics,Heart,Down,-0.57571047,0.044625738
1005,Epha4-Efnb1,STomics,Heart,Down,-0.417031126,0.044625738
1006,Efnb1-Epha4,STomics,Heart,Down,-0.417031126,0.044625738
1007,Col1a2-Cd93,STomics,Heart,Down,-0.427317145,0.044816941
1008,Col6a1-Sdc1,STomics,Heart,Down,-0.501267442,0.045190793
1009,Nppb-Npr3,STomics,Heart,Up,0.425939936,0.045710502
1010,Gnai2-Lhcgr,STomics,Heart,Up,1.19379618,0.046157245
1011,Lnx2-Cxadr,STomics,Heart,Down,-0.475605782,0.046294454
1012,Clstn3-Nrxn1,STomics,Heart,Up,0.958517232,0.046540414
1013,Ccl2-Ackr4,STomics,Heart,Up,1.080626513,0.047233419
1014,Fn1-Itga2,STomics,Heart,Down,-0.783097984,0.047328612
1015,Efnb1-Epha2,STomics,Heart,Up,0.53488941,0.047770353
1016,Angpt2-Itga5,STomics,Heart,Down,-0.521272087,0.048040537
1017,Dag1-Celsr3,STomics,Heart,Up,0.784813427,0.048455355
1018,Igfbp4-Fzd8,STomics,Heart,Down,-0.345696878,0.048455355
1019,Comp-Sdc4,STomics,Heart,Up,0.39189704,0.049372394
1020,Lpl-Lrp2,STomics,Heart,Down,-0.43893076,0.049841649
1021,Gnas-Vipr1,Visium,Kidney,Down,-2.124739288,2.42552037016203e-08
1022,Vcam1-Itgb2,Visium,Kidney,Up,2.764131898,2.42552037016203e-08
1023,Cd44-Tyrobp,Visium,Kidney,Up,3.686653795,2.83870479851877e-08
1024,Timp1-Itgb1,Visium,Kidney,Up,3.087981277,6.35735101547096e-08
1025,Cd14-Itgb2,Visium,Kidney,Up,2.671762912,9.07904025256951e-08
1026,C1qb-Lrp1,Visium,Kidney,Up,1.566204779,9.07904025256951e-08
1027,Apoe-Trem2,Visium,Kidney,Up,3.837627742,1.02432156675561e-07
1028,Vcam1-Itgb7,Visium,Kidney,Up,2.799099346,1.14178054490598e-07
1029,Cd52-Siglecg,Visium,Kidney,Up,3.392420479,1.14178054490598e-07
1030,Itgb2-Icam1,Visium,Kidney,Up,1.923653947,1.14178054490598e-07
1031,Icam1-Itgb2,Visium,Kidney,Up,1.923653947,1.14178054490598e-07
1032,Selplg-Vsir,Visium,Kidney,Up,2.723726251,1.14178054490598e-07
1033,Ltb-Tnfrsf1a,Visium,Kidney,Up,1.51465261,1.20906649563005e-07
1034,Fga-Itgam,Visium,Kidney,Up,2.769699653,2.20071149760609e-07
1035,Icam1-Itgal,Visium,Kidney,Up,2.032570648,2.63764399165477e-07
1036,Itgb2-Thy1,Visium,Kidney,Up,3.085940709,2.95328710068191e-07
1037,Adm2-Ramp3,Visium,Kidney,Down,-2.096878516,2.95699333355335e-07
1038,Gnai2-C5ar1,Visium,Kidney,Up,2.161021119,3.25276424432361e-07
1039,Bgn-Cd44,Visium,Kidney,Up,3.053679326,3.28739606997423e-07
1040,Bsg-Cd44,Visium,Kidney,Up,1.36479926,3.43744391847882e-07
1041,Cxcl12-Cxcr3,Visium,Kidney,Up,1.674679758,3.95732034751616e-07
1042,Icam1-Itgax,Visium,Kidney,Up,2.110727055,4.52589484557503e-07
1043,Grn-Tnfrsf1b,Visium,Kidney,Up,1.272663488,4.8637402699077e-07
1044,Col6a1-Cd44,Visium,Kidney,Up,2.16554874,5.07762246169102e-07
1045,Col4a3-Cd44,Visium,Kidney,Up,1.882971407,5.54655543119099e-07
1046,Icam1-Spn,Visium,Kidney,Up,2.196419009,6.54540563569781e-07
1047,Icam2-Itgb2,Visium,Kidney,Up,1.28552692,6.6621474580988e-07
1048,Itgb2-Icam2,Visium,Kidney,Up,1.28552692,6.6621474580988e-07
1049,C3-C3ar1,Visium,Kidney,Up,3.30567049,6.6621474580988e-07
1050,Icam2-Itgal,Visium,Kidney,Up,1.72104446,6.6621474580988e-07
1051,Lamb2-Cd44,Visium,Kidney,Up,2.152390572,6.6621474580988e-07
1052,Angptl2-Pirb,Visium,Kidney,Up,1.894735597,6.70097359986207e-07
1053,Col4a4-Cd44,Visium,Kidney,Up,1.649534992,6.71738742954983e-07
1054,Col6a2-Cd44,Visium,Kidney,Up,2.408334657,6.98322521355379e-07
1055,Timp1-Lrp1,Visium,Kidney,Up,3.369339551,7.93125316595867e-07
1056,Timp1-Cd63,Visium,Kidney,Up,2.367230685,8.649434156467e-07
1057,Anxa2-Cd44,Visium,Kidney,Up,2.565803312,8.97715020544466e-07
1058,Lamb1-Cd44,Visium,Kidney,Up,1.688077466,9.40468072288788e-07
1059,Ptma-Vipr1,Visium,Kidney,Down,-1.90310079,9.88096184035464e-07
1060,Col6a3-Cd44,Visium,Kidney,Up,2.264477911,1.21811915095471e-06
1061,Ltb-Cd40,Visium,Kidney,Up,2.28058266,1.22580672450139e-06
1062,Lgals9-Havcr2,Visium,Kidney,Up,2.161463237,1.22580672450139e-06
1063,Dcn-Tlr2,Visium,Kidney,Up,2.541174174,1.22580672450139e-06
1064,Cd14-C3ar1,Visium,Kidney,Up,3.285366918,1.22580672450139e-06
1065,Bdnf-Sort1,Visium,Kidney,Down,-1.87155877,1.22580672450139e-06
1066,Lamc3-Cd44,Visium,Kidney,Up,2.364122907,1.22580672450139e-06
1067,Bdnf-Insrr,Visium,Kidney,Down,-3.243640086,1.22580672450139e-06
1068,Ccl5-Ccr5,Visium,Kidney,Up,2.973849777,1.22580672450139e-06
1069,Angpt2-Itgb2,Visium,Kidney,Up,2.686396053,1.22580672450139e-06
1070,Cd14-Itga4,Visium,Kidney,Up,2.568134595,1.22580672450139e-06
1071,Lama5-Cd44,Visium,Kidney,Up,1.888856059,1.25686479600494e-06
1072,Vcam1-Itgb1,Visium,Kidney,Up,0.995126105,1.3734463320128e-06
1073,Lgals9-Cd44,Visium,Kidney,Up,2.426413299,1.3734463320128e-06
1074,Tln1-Itgb2,Visium,Kidney,Up,1.053861288,1.62370840955735e-06
1075,Vcam1-Itga4,Visium,Kidney,Up,2.494341911,2.1520020286887e-06
1076,Slpi-Plscr1,Visium,Kidney,Up,4.593749094,2.45833505111322e-06
1077,Lgals9-Ighm,Visium,Kidney,Up,5.790921141,2.78587455603236e-06
1078,Serping1-Lrp1,Visium,Kidney,Up,0.976757887,2.86083220355562e-06
1079,Col4a1-Cd44,Visium,Kidney,Up,2.226178761,2.88418217991978e-06
1080,Crlf1-Cntfr,Visium,Kidney,Up,2.46541317,2.88418217991978e-06
1081,Icam1-Itgam,Visium,Kidney,Up,3.287256184,2.97458454026651e-06
1082,Fn1-Cd44,Visium,Kidney,Up,2.653768409,2.99852034098845e-06
1083,Clec2d-Klrb1b,Visium,Kidney,Up,2.64301094,3.06047735365049e-06
1084,Angptl4-Cdh11,Visium,Kidney,Up,1.715245545,3.06047735365049e-06
1085,Bgn-Tlr2,Visium,Kidney,Up,2.601344677,3.06047735365049e-06
1086,Adm2-Ramp2,Visium,Kidney,Down,-2.105121756,3.24876223598669e-06
1087,Ceacam1-Sdc4,Visium,Kidney,Down,-1.196072631,3.24876223598669e-06
1088,Col1a2-Cd44,Visium,Kidney,Up,2.538127432,3.26966086549459e-06
1089,Ccl2-Ccr2,Visium,Kidney,Up,4.003798346,3.26966086549459e-06
1090,Lcn2-Slc22a17,Visium,Kidney,Up,2.572968792,3.29767267145123e-06
1091,Cd24a-Selp,Visium,Kidney,Up,3.436096836,3.33036057739826e-06
1092,Fn1-Cd79a,Visium,Kidney,Up,2.738203215,3.37476107000622e-06
1093,Sema4d-Cd72,Visium,Kidney,Up,1.10245891,3.37476107000622e-06
1094,Ptpn6-Cd22,Visium,Kidney,Up,2.786137501,3.55143444236115e-06
1095,C1qa-Cd93,Visium,Kidney,Up,2.019901713,3.92140810587969e-06
1096,Egf-Cav1,Visium,Kidney,Down,-1.452370876,4.0701791985707e-06
1097,Serpine2-Lrp1,Visium,Kidney,Up,1.312650673,4.27011702052742e-06
1098,Bst2-Pira2,Visium,Kidney,Up,3.537184255,4.39611162536702e-06
1099,Bmp7-Bmpr1b,Visium,Kidney,Down,-1.784618312,4.4461345401646e-06
1100,Col14a1-Cd44,Visium,Kidney,Up,2.039820887,4.48508812788886e-06
1101,Vcam1-Itga9,Visium,Kidney,Up,1.459302884,4.55537177883519e-06
1102,Bdnf-Bex3,Visium,Kidney,Down,-1.812808503,5.35852140285473e-06
1103,Col4a2-Cd44,Visium,Kidney,Up,2.126352449,5.35852140285473e-06
1104,Lama2-Cd44,Visium,Kidney,Up,1.991698881,5.37212787227693e-06
1105,Cxcl12-Itga4,Visium,Kidney,Up,1.556196267,5.45829394806706e-06
1106,Slit2-Robo3,Visium,Kidney,Down,-1.190542615,5.57712498776402e-06
1107,Col1a1-Cd44,Visium,Kidney,Up,2.532953273,5.83476380854171e-06
1108,Ccl12-Ccr2,Visium,Kidney,Up,3.31355395,6.01093836966692e-06
1109,Alox5ap-Alox5,Visium,Kidney,Up,2.177552239,6.7369889069089e-06
1110,Lamc1-Cd44,Visium,Kidney,Up,1.92788541,7.33073597916199e-06
1111,Gnai2-Ccr5,Visium,Kidney,Up,1.667645932,7.33073597916199e-06
1112,Igfbp5-Cav1,Visium,Kidney,Down,-1.378371274,7.79007960295607e-06
1113,App-Casr,Visium,Kidney,Down,-1.540186878,7.79007960295607e-06
1114,Cd14-Tlr2,Visium,Kidney,Up,2.903540313,9.69790369717539e-06
1115,App-Cav1,Visium,Kidney,Down,-1.264900335,9.835907273218e-06
1116,Ccl19-Cxcr3,Visium,Kidney,Up,2.632704284,1.04120558786794e-05
1117,Serping1-Selp,Visium,Kidney,Up,4.575710434,1.04857895430159e-05
1118,Adm2-Calcrl,Visium,Kidney,Down,-1.784648824,1.07769277621883e-05
1119,Anxa2-Tlr2,Visium,Kidney,Up,2.07143871,1.07769277621883e-05
1120,Cxcl12-Cd4,Visium,Kidney,Up,1.170919776,1.07769277621883e-05
1121,Ccl5-Ccrl2,Visium,Kidney,Up,1.639060431,1.11318367704712e-05
1122,Hmgb1-Tlr2,Visium,Kidney,Up,1.068123686,1.14330402938887e-05
1123,Ebi3-Il6st,Visium,Kidney,Up,1.308626189,1.22628273170659e-05
1124,Jam3-Itgb2,Visium,Kidney,Up,1.174091443,1.25819590888583e-05
1125,Hmgb1-Itgam,Visium,Kidney,Up,2.224243377,1.25819590888583e-05
1126,Ccl22-Dpp4,Visium,Kidney,Up,2.121845979,1.2759060697346e-05
1127,Pf4-Thbd,Visium,Kidney,Up,1.592574091,1.37075762901794e-05
1128,Bgn-P2rx7,Visium,Kidney,Up,2.531261798,1.38503196197067e-05
1129,Lama3-Dag1,Visium,Kidney,Down,-1.189769093,1.38503196197067e-05
1130,Serpine2-Plaur,Visium,Kidney,Up,2.034818947,1.38855903892658e-05
1131,Pcsk9-Aplp2,Visium,Kidney,Down,-2.094921895,1.53001600237976e-05
1132,Ltb-Ltbr,Visium,Kidney,Up,1.221049617,1.61997849743204e-05
1133,Vim-Cd44,Visium,Kidney,Up,2.657360354,1.69446062242962e-05
1134,C4b-Cd46,Visium,Kidney,Up,2.875220879,1.72825340578679e-05
1135,Mrc1-Ptprc,Visium,Kidney,Up,2.853629748,1.78397396660373e-05
1136,Ptprc-Mrc1,Visium,Kidney,Up,2.853629748,1.78397396660373e-05
1137,Hbegf-Erbb2,Visium,Kidney,Down,-0.850206948,1.83615559538435e-05
1138,Fn1-Itgb7,Visium,Kidney,Up,1.904501126,1.96140127938668e-05
1139,Lamc2-Sv2a,Visium,Kidney,Down,-1.320941691,1.96468840323427e-05
1140,Hmgb1-Havcr2,Visium,Kidney,Up,1.523415309,2.11701783403555e-05
1141,App-Adra2a,Visium,Kidney,Down,-1.272944786,2.24665387739188e-05
1142,Pcsk9-Ldlr,Visium,Kidney,Down,-2.408616681,2.24762833128679e-05
1143,Bgn-Tlr4,Visium,Kidney,Up,2.024193425,2.24762833128679e-05
1144,Tnc-Sdc1,Visium,Kidney,Up,2.304560964,2.24762833128679e-05
1145,Cdh1-Ptprm,Visium,Kidney,Down,-0.752295534,2.24762833128679e-05
1146,C1qb-Cd33,Visium,Kidney,Up,3.853833189,2.24762833128679e-05
1147,Hdc-Hrh2,Visium,Kidney,Up,2.768414568,2.24762833128679e-05
1148,Lama3-Sv2a,Visium,Kidney,Down,-1.857505945,2.24762833128679e-05
1149,Cd14-Tlr4,Visium,Kidney,Up,2.197922494,2.3378230528545e-05
1150,C3-Itgb2,Visium,Kidney,Up,2.437715294,2.3378230528545e-05
