,gene,tech,organ,regulate,logFC,FDR
4219,Igsf11,STomics,Kidney,Down,-1.06489271934605,0.009681823993352
4220,Ctnna2,STomics,Kidney,Up,1.63874327468723,0.0097128358368908
4221,Il15,STomics,Kidney,Down,-0.624260039074411,0.0097131951687244
4222,Nmrk1,STomics,Kidney,Down,-1.48189255813068,0.0097313195864526
4223,Plekhg3,STomics,Kidney,Up,0.709457414835449,0.009792176998635
4224,Lst1,STomics,Kidney,Up,0.995633967287667,0.0098151617673436
4225,Acad11,STomics,Kidney,Down,-0.677278113440647,0.0098233118274753
4226,Nmd3,STomics,Kidney,Down,-0.609666999592491,0.0098295250176847
4227,Gdap2,STomics,Kidney,Up,0.601081756598211,0.0098313563453272
4228,Efemp2,STomics,Kidney,Up,0.665199725237704,0.0098601208316895
4229,Trmt112,STomics,Kidney,Down,-0.886195539642638,0.0099052667688323
4230,Tspan9,STomics,Kidney,Up,0.505291252770002,0.0099171088363002
4231,Ebna1bp2,STomics,Kidney,Down,-0.782405353936325,0.0099223636411907
4232,Rnf13,STomics,Kidney,Down,-0.584244473653535,0.0099223636411907
4233,Mogat1,STomics,Kidney,Down,-1.32116552434701,0.0099223636411907
4234,Tmc4,STomics,Kidney,Up,0.582352726360831,0.0100175017515718
4235,Irf5,STomics,Kidney,Down,-0.886183936462765,0.0100443639524715
4236,Fundc2,STomics,Kidney,Down,-0.635705583759804,0.0101098618303756
4237,C920021L13Rik,STomics,Kidney,Down,-0.650095911022592,0.0102341464697161
4238,Dpysl3,STomics,Kidney,Up,1.12371851120052,0.0102341464697161
4239,Ptpn18,STomics,Kidney,Up,0.760903875487845,0.0104112790563201
4240,Muc1,STomics,Kidney,Up,1.70270221464323,0.0105756889364644
4241,Zfp280d,STomics,Kidney,Down,-0.599987931910478,0.0106071440664539
4242,Cd55,STomics,Kidney,Down,-0.796925871471993,0.0106071440664539
4243,Gramd1b,STomics,Kidney,Up,0.993592796822518,0.0106424865243953
4244,Hspa9,STomics,Kidney,Up,0.741476401347218,0.0107190170076499
4245,Dpm2,STomics,Kidney,Down,-0.618140948730142,0.0108120331473285
4246,Ebag9,STomics,Kidney,Down,-0.571163784978771,0.0108999028889784
4247,Eif3e,STomics,Kidney,Down,-0.731911022333143,0.0109456219998145
4248,Fbp2,STomics,Kidney,Up,0.574832991749042,0.0109456219998145
4249,Smtn,STomics,Kidney,Up,0.573313049919346,0.0110479267478699
4250,Elk1,STomics,Kidney,Down,-0.70335981547527,0.0111412215814088
4251,Fastk,STomics,Kidney,Down,-1.13151266932923,0.0111924169854039
4252,Cuedc2,STomics,Kidney,Up,0.514735479107175,0.0111954902572801
4253,Tmem64,STomics,Kidney,Down,-1.05969490602832,0.0112078324755402
4254,Kansl1l,STomics,Kidney,Down,-0.70148387546731,0.0112490259273132
