"","LR pairs","organ","gender","regulate","logFC","FDR"
"1230","COL6A3-SDC4","Brain","Female","Up",-0.398804685920393,0.00175705314794747
"1231","VIP-NPR3","Brain","Female","Down",1.59150951971834,0.00176337118050502
"1232","LGALS3-ITGA3","Brain","Female","Up",-0.474112142979173,0.00186218894527329
"1233","C1QL2-ADGRB3","Brain","Female","Down",0.364510240741104,0.00271995531933094
"1234","CCL5-GPR75","Brain","Female","Down",1.11188564981166,0.00336061088573047
"1235","FGF2-ITGAV","Brain","Female","Up",-0.581474737881893,0.00341003129985078
"1236","CD44-TYROBP","Brain","Female","Up",-0.495995239576062,0.0036180710969133
"1237","RSPO2-RNF43","Brain","Female","Up",-0.350548541997051,0.00396223739940979
"1238","GDF10-BMPR1B","Brain","Female","Up",-0.364504606018913,0.00418125426365645
"1239","SPP1-CD44","Brain","Female","Up",-1.35696766896561,0.00539287854428389
"1240","HMGB1-TLR1","Brain","Female","Up",-0.53428704986724,0.00544337080864968
"1241","MCAM-MCAM","Brain","Female","Down",1.30366423661846,0.00593962890842089
"1242","CXCL12-CMKLR1","Brain","Female","Up",-0.362023690494105,0.0064009782537897
"1243","TGFB1-ITGB8","Brain","Female","Up",-0.628271872794577,0.00656247035007427
"1244","EFNA1-EPHA2","Brain","Female","Down",0.991896261718048,0.00737098332228009
"1245","LGALS3BP-ITGB1","Brain","Female","Up",-0.594378713536006,0.00793558445807425
"1246","CALM1-KCNN4","Brain","Female","Up",-0.412289717898904,0.00843863989062522
"1247","JAM3-ITGA4","Brain","Female","Up",-0.716569373201688,0.00871571287986839
"1248","LGALS9-HAVCR2","Brain","Female","Up",-0.56648888216913,0.0111961804707238
"1249","GRN-TNFRSF1B","Brain","Female","Down",0.450857401640673,0.0154462973354987
"1250","FADD-TNFRSF1A","Brain","Female","Up",-0.362754025738179,0.0157159479175202
"1251","SPP1-ITGB1","Brain","Female","Up",-0.837314450765655,0.0165342823686218
"1252","SPP1-ITGA8","Brain","Female","Up",-0.940418534456327,0.0169487380121843
"1253","SLIT2-ROBO3","Brain","Female","Up",-0.371335441861706,0.0178101776244816
"1254","S100A10-TRPV6","Brain","Female","Down",0.60694028275857,0.0201188997642756
"1255","SPP1-ITGA4","Brain","Female","Up",-0.921455995014288,0.0205724483041676
"1256","APP-CD74","Brain","Female","Up",-0.425934125066202,0.0243772984363442
"1257","HMGB1-HAVCR2","Brain","Female","Up",-0.42328360878222,0.0296133592343834
"1258","DLL3-NOTCH1","Brain","Female","Down",0.425105364003492,0.0304522843598396
"1259","COL5A2-DDR1","Brain","Female","Down",0.324118354709858,0.0321097387365802
"1260","SEMA4D-CD72","Brain","Female","Down",0.818441642139933,0.034048885085033
"1261","C4B-CD46","Brain","Female","Down",1.00266253348178,0.0417518272599368
"1262","C1QB-CD33","Brain","Female","Up",-0.444565581036862,0.0433622061781975
"1263","GNAI2-C5AR1","Brain","Female","Down",0.291592834775094,0.0488824000413679
