"","Ligand.gene.symbol","Receptor.gene.symbol"
"888","Itgb2","Cd226"
"889","Itgb2","Icam1"
"890","Itgb2","Icam2"
"891","Itgb2l","Cd226"
"892","Itgb2l","Icam1"
"893","Itgb2l","Icam2"
"894","Jam2","Jam3"
"895","F11r","F11r"
"896","F11r","Jam2"
"897","F11r","Jam3"
"898","Jam2","F11r"
"899","Jam2","Jam2"
"900","Jam3","F11r"
"901","Jam3","Jam2"
"902","Jam3","Jam3"
"903","L1cam","L1cam"
"904","Lair1","Pira2"
"905","Mag","Mag"
"906","H2-M2","Cd8a"
"907","H2-M3","Cd8a"
"908","H2-M9","Cd8a"
"909","H2-Q1","Cd8a"
"910","H2-Q10","Cd8a"
"911","H2-Q2","Cd8a"
"912","H2-Q7","Cd8a"
"913","H2-Q8","Cd8a"
"914","H2-T22","Cd8a"
"915","H2-T23","Cd8a"
"916","H2-T24","Cd8a"
"917","H2-T3","Cd8a"
"918","H2-T9","Cd8a"
"919","H2-M10.4","Cd8a"
"920","H2-M11","Cd8a"
"921","H2-M1","Cd8a"
"922","H2-M10.5","Cd8a"
"923","H2-M10.2","Cd8a"
"924","H2-M10.6","Cd8a"
"925","H2-T10","Cd8a"
"926","H2-Q6","Cd8a"
"927","H2-M10.3","Cd8a"
"928","H2-Bl","Cd8a"
"929","H2-D1","Cd8a"
"930","H2-K1","Cd8a"
"931","H2-M10.1","Cd8a"
"932","H2-T18","Cd8a"
"933","H2-Q9","Cd8a"
"934","Gm8909","Cd8a"
"935","H2-L","Cd8a"
"936","Gm10499","Cd8a"
"937","H2-Q4","Cd8a"
"938","H2-T-Ps","Cd8a"
"939","Gm11127","Cd8a"
"940","H2-M5","Cd8a"
"941","Gm7030","Cd8a"
"942","H2-M2","Cd8b1"
"943","H2-M3","Cd8b1"
"944","H2-M9","Cd8b1"
"945","H2-Q1","Cd8b1"
"946","H2-Q10","Cd8b1"
"947","H2-Q2","Cd8b1"
"948","H2-Q7","Cd8b1"
"949","H2-Q8","Cd8b1"
"950","H2-T22","Cd8b1"
"951","H2-T23","Cd8b1"
"952","H2-T24","Cd8b1"
"953","H2-T3","Cd8b1"
"954","H2-T9","Cd8b1"
"955","H2-M10.4","Cd8b1"
"956","H2-M11","Cd8b1"
"957","H2-M1","Cd8b1"
"958","H2-M10.5","Cd8b1"
"959","H2-M10.2","Cd8b1"
"960","H2-M10.6","Cd8b1"
"961","H2-T10","Cd8b1"
"962","H2-Q6","Cd8b1"
"963","H2-M10.3","Cd8b1"
"964","H2-Bl","Cd8b1"
"965","H2-D1","Cd8b1"
"966","H2-K1","Cd8b1"
"967","H2-M10.1","Cd8b1"
"968","H2-T18","Cd8b1"
"969","H2-Q9","Cd8b1"
"970","Gm8909","Cd8b1"
"971","H2-L","Cd8b1"
"972","Gm10499","Cd8b1"
"973","H2-Q4","Cd8b1"
"974","H2-T-Ps","Cd8b1"
"975","Gm11127","Cd8b1"
"976","H2-M5","Cd8b1"
"977","Gm7030","Cd8b1"
"978","H2-Bi","Kir3dl1"
"979","H2-D1","Kir3dl1"
"980","H2-K1","Kir3dl1"
"981","H2-Q1","Kir3dl1"
"982","H2-Q10","Kir3dl1"
"983","H2-Q2","Kir3dl1"
"984","H2-Q4","Kir3dl1"
"985","H2-Q6","Kir3dl1"
"986","H2-Q7","Kir3dl1"
"987","H2-D","Klra"
"988","H2-K1","Klra"
"989","Ulbp1","Klrk1"
"990","Raet1a","Klrk1"
"991","H60a","Klrk1"
"992","H2-Ea-Ps","Cd4"
"993","H2-Aa","Cd4"
"994","H2-Ab1","Cd4"
"995","H2-Eb1","Cd4"
"996","H2-Dma","Cd4"
"997","H2-Dmb1","Cd4"
"998","H2-Dmb2","Cd4"
"999","H2-Oa","Cd4"
"1000","H2-Ob","Cd4"
"1001","Mpz","Mpzl1"
"1002","Mpz","Mpz"
"1003","Mpzl1","Mpzl1"
"1004","Ncam1","Fgfr1"
"1005","Ncam1","Ncam1"
"1006","Ncam1","Ncam2"
"1007","Ncam1","L1cam"
"1008","Ncam2","L1cam"
"1009","Nectin1","Cadm3"
"1010","Nectin1","Cd96"
"1011","Nectin1","Nectin4"
"1012","Nectin3","Nectin1"
"1013","Nectin3","Nectin2"
"1014","Nectin3","Pvr"
"1015","Nectin3","Tigit"
"1016","Nectin2","Cd226"
"1017","Nectin2","Tigit"
"1018","Nectin1","Nectin3"
"1019","Negr1","Negr1"
"1020","Lrrc4c","Ntng1"
"1021","Lrrc4","Ntng2"
"1022","Lrrc4b","Ptprf"
"1023","Dlk1","Notch1"
"1024","Dlk1","Notch2"
"1025","Dlk1","Notch3"
"1026","Dlk1","Notch4"
"1027","Dll1","Notch1"
"1028","Dll1","Notch3"
"1029","Dll1","Notch4"
"1030","Dll3","Notch1"
"1031","Dll3","Notch2"
"1032","Dll3","Notch3"
"1033","Dll3","Notch4"
"1034","Dll4","Notch1"
"1035","Dll4","Notch2"
"1036","Dll4","Notch3"
"1037","Dll4","Notch4"
"1038","Jag1","Notch1"
"1039","Jag1","Notch2"
"1040","Jag1","Notch3"
"1041","Jag1","Notch4"
"1042","Jag2","Notch1"
"1043","Jag2","Notch2"
"1044","Jag2","Notch3"
"1045","Jag2","Notch4"
"1046","Dll1","Notch2"
"1047","Nrxn1","Nlgn1"
"1048","Nrxn1","Nlgn2"
"1049","Nrxn1","Nlgn3"
"1050","Nrxn2","Nlgn1"
"1051","Nrxn2","Nlgn2"
"1052","Nrxn2","Nlgn3"
"1053","Nrxn3","Nlgn1"
"1054","Nrxn3","Nlgn2"
"1055","Nrxn3","Nlgn3"
"1056","Ocln","Ocln"
"1057","Cd274","Pdcd1"
"1058","Pdcd1lg2","Pdcd1"
"1059","Pecam1","Pecam1"
"1060","Ptprm","Ptprm"
"1061","Pvr","Cd226"
"1062","Pvr","Tigit"
"1063","Sele","Cd44"
"1064","Sele","Glg1"
"1065","Sell","Cd34"
"1066","Sell","Podxl"
"1067","Sell","Glycam1"
"1068","Sell","Madcam1"
"1069","Selplg","Sele"
"1070","Selplg","Sell"
"1071","Selplg","Selp"
"1072","Sema4a","Plxnb1"
"1073","Sema4a","Plxnb2"
"1074","Sema4a","Plxnb3"
"1075","Sema4d","Plxnb1"
"1076","Sema4d","Plxnb2"
"1077","Sema4d","Plxnb3"
"1078","Sema4c","Plxnb2"
"1079","Sema4g","Plxnb2"
"1080","Sema4a","Timd2"
"1081","Sema4d","Cd72"
"1082","Sema5a","Plxna1"
"1083","Sema5b","Plxna1"
"1084","Sema5a","Plxna3"
"1085","Sema5b","Plxna3"
"1086","Sema5a","Plxnb3"
"1087","Sema6d","Plxna1"
"1088","Sema6a","Plxna2"
"1089","Sema6b","Plxna2"
"1090","Sema6a","Plxna4"
"1091","Sema6b","Plxna4"
"1092","Sema7a","Plxnc1"
"1093","Siglec1","Spn"
"1094","Tigit","Nectin2"
"1095","Tigit","Pvr"
"1096","Vsir","Igsf11"
"1097","Cdh2","Fcer2a"
"1098","Cdh3","Cdh3"
"1099","Cdh6","Cdh6"
"1100","Cdh7","Cdh7"
"1101","Cadm1","Nectin3"
"1102","Cadm3","Cadm1"
"1103","Cadm3","Cadm4"
"1104","Cadm3","Epb41l1"
"1105","Cadm3","Nectin3"
"1106","Ceacam2","Cd209c"
"1107","Ceacam2","Ceacam2"
"1108","Ceacam2","Psg20"
"1109","Ceacam2","Sele"
"1110","Ceacam2","Cd1d2"
"1111","Ceacam2","Cd8a"
"1112","Psg20","Ceacam2"
"1113","Col3a1","Adgrg1"
"1114","Col4a1","Adgrg6"
"1115","Col4a2","Adgrg6"
"1116","Col4a3","Adgrg6"
"1117","Col4a4","Adgrg6"
"1118","Col4a5","Adgrg6"
"1119","Col4a6","Adgrg6"
"1120","Dsg1c","Dsc1"
"1121","Dsg1c","Dsc2"
"1122","Dag1","Celsr3"
"1123","Gja1","Gja1"
"1124","Gja1","Gja5"
"1125","Gja3","Gja1"
"1126","Gja3","Gja3"
"1127","Gja3","Gja5"
"1128","Gja3","Gjc1"
"1129","Gja5","Gja5"
"1130","Gjc1","Gja1"
"1131","Gjc1","Gja5"
"1132","Gjc1","Gjc1"
"1133","Icam2","Cd209c"
"1134","","Cd209c"
"1135","","Cd209a"
"1136","Nectin2","Nectin3"
"1137","F2","Thbd"
"1138","Chat","Chrm1"
"1139","Chat","Chrm2"
"1140","Chat","Chrm3"
"1141","Chat","Chrm4"
"1142","Chat","Chrm5"
"1143","Chat","Chrna1"
"1144","Chat","Chrna7"
"1145","Adm","Ramp3"
"1146","Agrp","Mc2r"
"1147","Agrp","Mc3r"
"1148","Agrp","Mc4r"
"1149","Agrp","Mc5r"
"1150","A","Mc1r"
"1151","Agrn","Ptprs"
"1152","App","Fpr-Rs7"
"1153","App","Plxna4"
"1154","App","Sorl1"
"1155","App","Tnfrsf21"
"1156","Aplp2","Pigr"
"1157","Aplp2","Plxna4"
"1158","Cyp11b2","Nr3c1"
"1159","Cyp11b2","Nr3c2"
"1160","Srd5a1","Ar"
"1161","Srd5a2","Ar"
"1162","Srd5a3","Ar"
"1163","Cyp17a1","Ar"
"1164","Hsd17b6","Nr1h4"
"1165","Cyp27b1","Vdr"
"1166","Cyp21a1","Nr3c2"
"1167","Cyp19a1","Esr1"
"1168","Cyp19a1","Esr2"
"1169","Cyp19a1","Gper1"
"1170","Cyp19a1","Nr1i2"
"1171","Cyp11a1","Nr1h4"
"1172","Cyp3a13","Nr1h4"
"1173","Hsd17b12","Ar"
"1174","Hsd17b3","Ar"
"1175","Angpt4","Tek"
"1176","Agt","Agtr2"
"1177","Anxa1","Fpr-Rs7"
"1178","Anxa1","Fpr3"
"1179","Apoa1","Abca1"
"1180","Apob","Apobr"
"1181","Dagla","Cnr1"
"1182","Dagla","Cnr2"
"1183","Dagla","Gpr55"
"1184","Daglb","Cnr1"
"1185","Daglb","Cnr2"
"1186","Daglb","Gpr55"
"1187","Ngf","Sort1"
"1188","Bdnf","Ngfr"
"1189","Bdnf","Sort1"
"1190","Clstn1","Nrxn1"
"1191","Clstn1","Nrxn2"
"1192","Clstn1","Nrxn3"
"1193","Clstn2","Nrxn1"
"1194","Clstn2","Nrxn2"
"1195","Clstn2","Nrxn3"
"1196","Clstn3","Nrxn1"
"1197","Clstn3","Nrxn2"
"1198","Clstn3","Nrxn3"
"1199","Ctsg","Fpr1"
"1200","Ccl11","Dpp4"
"1201","Ccl2","Ccr3"
"1202","","Ackr2"
"1203","","Ccr1"
"1204","","Ccr3"
"1205","Ccl9","Ccr3"
"1206","Ccl11","Ccr1"
"1207","Ccl11","Ccr2"
"1208","Ccl11","Ccr8"
"1209","Ccl11","Hrh4"
"1210","Ccl3","Ccr8"
"1211","Ccl19","Ccrl2"
"1212","Ccl12","Ackr1"
"1213","Ccl12","Ackr2"
"1214","Ccl22","Dpp4"
"1215","Ccl9","Fpr-Rs7"
"1216","Ccl26","Ccr1"
"1217","Ccl26","Ccr2"
"1218","Ccl3","Ccr3"
"1219","Ccl5","Gpr75"
"1220","Ccl7","Ackr2"
"1221","Ccl7","Ccr5"
"1222","Ccl8","Ackr2"
"1223","Ccl8","Ccr3"
"1224","Ppbp","Cxcr1"
"1225","Cxcl10","Dpp4"
"1226","Cxcl11","Dpp4"
"1227","Cxcl12","Dpp4"
"1228","Cxcl13","Ackr4"
"1229","Cxcl14","Cxcr4"
"1230","Cxcl3","Dpp4"
"1231","","Ackr1"
"1232","","Cxcr1"
"1233","","Cxcr2"
"1234","Cxcl9","Dpp4"
"1235","Cel","Rora"
"1236","Cel","Rorc"
"1237","Lipa","Rora"
"1238","Lipa","Rorc"
"1239","Dhcr24","Rora"
"1240","Dhcr24","Rorc"
"1241","Dhcr7","Nr1h2"
"1242","Dhcr7","Nr1h3"
"1243","Dhcr7","Rora"
"1244","Dhcr7","Rorc"
"1245","","Gpr15"
"1246","","Susd2"
"1247","C1ql1","Adgrb3"
"1248","C1ql2","Adgrb3"
"1249","C1ql3","Adgrb3"
"1250","C1ql4","Adgrb3"
"1251","C3","C5ar2"
"1252","C4b","C5ar2"
"1253","Hc","C5ar2"
"1254","Sult1a1","Ppara"
"1255","Sult1a1","Ppard"
"1256","Sult1a1","Pparg"
"1257","Sult1e1","Ppara"
"1258","Sult1e1","Ppard"
"1259","Sult1e1","Pparg"
"1260","Sult2a3","Ppara"
"1261","Sult2a3","Ppard"
"1262","Sult2a3","Pparg"
"1263","Ubash3b","Esr1"
"1264","Ubash3b","Nr1i2"
"1265","Ubash3b","Ppara"
"1266","Dhh","Hhip"
"1267","Dhrs9","Pgr"
"1268","Tyr","Gpr143"
"1269","Entpd1","Adora3"
"1270","Efnb1","Epha2"
"1271","Efnb1","Ephb6"
"1272","Efnb2","Ephb6"
"1273","Hbegf","Erbb2"
"1274","Pnmt","Adra1a"
"1275","Pnmt","Adra1b"
"1276","Pnmt","Adra1d"
"1277","Pnmt","Adra2a"
"1278","Pnmt","Adra2b"
"1279","Pnmt","Adra2c"
"1280","Pnmt","Adrb1"
"1281","Pnmt","Adrb2"
"1282","Pnmt","Adrb3"
"1283","Hsd17b1","Esr1"
"1284","Hsd17b1","Esr2"
"1285","Hsd17b1","Gper1"
"1286","Hsd17b1","Nr1i2"
"1287","Fcer2a","Fgfr2"
"1288","Fgl1","Lag3"
"1289","Flrt1","Adgrl1"
"1290","Flrt1","Adgrl3"
"1291","Flrt2","Adgrl1"
"1292","Flrt2","Adgrl3"
"1293","Flrt3","Adgrl2"
"1294","Flrt3","Adgrl3"
"1295","Galp","Galr3"
"1296","Lgals3","Mertk"
"1297","Lgals9","P4hb"
"1298","Gast","Adgrg1"
"1299","Gast","Cckar"
"1300","Gast","Cckbr"
"1301","Grp","Nmbr"
"1302","Btc","Erbb3"
"1303","Ghrl","Ghrhr"
"1304","Ghrl","Gpr39"
"1305","Hdc","Hrh1"
"1306","Hdc","Hrh2"
"1307","Hdc","Hrh3"
"1308","Hdc","Hrh4"
"1309","",""
"1310","","Mt-Rnr2"
"1311","Ihh","Hhip"
"1312","Ins2","Insr"
"1313","Igfbp3","Tmem219"
"1314","","Igflr1"
"1315","Il1rap","Ptprf"
"1316","Kng2","Rxfp4"
"1317","Lefty1",""
"1318","Lefty2",""
"1319","Clec2f",""
"1320","4922502d21Rik",""
"1321","Lrrc4b","Ptprd"
"1322","Lrrc4b","Ptprs"
"1323","Lrrc4c","Ptprf"
"1324","Lrfn4","Ptprd"
"1325","Lrfn4","Ptprf"
"1326","Lrfn4","Ptprs"
"1327","Lrfn5","Ptprd"
"1328","Lrfn5","Ptprf"
"1329","Lrfn5","Ptprs"
"1330","Lrrtm1","Nrxn1"
"1331","Lrrtm1","Nrxn2"
"1332","Lrrtm1","Nrxn3"
"1333","Lrrtm2","Nrxn1"
"1334","Lrrtm2","Nrxn2"
"1335","Lrrtm2","Nrxn3"
"1336","Lrrtm3","Nrxn1"
"1337","Lrrtm3","Nrxn2"
"1338","Lrrtm3","Nrxn3"
"1339","Lrrtm4","Nrxn1"
"1340","Lrrtm4","Nrxn2"
"1341","Lrrtm4","Nrxn3"
"1342","Lrrtm4","Ptprs"
"1343","Ncam1","Agrn"
"1344","Dpep1","Cysltr1"
"1345","Dpep1","Cysltr2"
"1346","Dpep2","Cysltr1"
"1347","Dpep2","Cysltr2"
"1348","Dpep3","Cysltr1"
"1349","Dpep3","Cysltr2"
"1350","Ggt1","Cysltr1"
"1351","Ggt1","Cysltr2"
"1352","Lta4h","Gpr17"
"1353","Lta4h","Ltb4r1"
"1354","Lta4h","Ltb4r2"
"1355","Ltb","Ltbr"
"1356","Ltc4s","Cysltr1"
"1357","Ltc4s","Cysltr2"
"1358","Ptgr1","Ltb4r1"
"1359","Ptgr1","Ltb4r2"
"1360","Alox12","Cysltr1"
"1361","Alox12","Fpr-Rs7"
"1362","Lpar1","Adgre5"
"1363","Lpar2","Adgre5"
"1364","Lpar3","Adgre5"
"1365","Asmt","Mtnr1a"
"1366","Asmt","Mtnr1b"
"1367","Ntn1","Dcc"
"1368","Ntn1","Dscam"
"1369","Ntn1","Unc5a"
"1370","Ntn1","Unc5b"
"1371","Ntn1","Unc5c"
"1372","Ntn4","Ntrk2"
"1373","Ntn4","Unc5b"
"1374","Ntn4","Unc5d"
"1375","Nrxn1","Adgrl1"
"1376","Nrxn1","Dag1"
"1377","Nrxn2","Adgrl1"
"1378","Nrxn2","Dag1"
"1379","Nrxn3","Adgrl1"
"1380","Nlgn1","Nrxn1"
"1381","Nlgn1","Nrxn2"
"1382","Nlgn1","Nrxn3"
"1383","Nlgn2","Nrxn1"
"1384","Nlgn2","Nrxn2"
"1385","Nlgn2","Nrxn3"
"1386","Nlgn3","Nrxn1"
"1387","Nlgn3","Nrxn2"
"1388","Nlgn3","Nrxn3"
"1389","Nlgn3","Ptprd"
"1390","Nlgn4l","Nrxn1"
"1391","Nlgn4l","Nrxn2"
"1392","Nlgn4l","Nrxn3"
"1393","Nmb","Grpr"
"1394","Npb",""
"1395","Npw",""
"1396","Nts","Sort1"
"1397","Ntf3","Ngfr"
"1398","Ntf5","Ngfr"
"1399","Cntn1","Notch1"
"1400","Cntn1","Notch2"
"1401","Pnoc","Oprl1"
"1402","Oxt","Avpr1a"
"1403","Oxt","Avpr1b"
"1404","Oxt","Avpr2"
"1405","Pthlh","Prlhr"
"1406","Pthlh","Pth2r"
"1407","Adcyap1","Vipr1"
"1408","Adcyap1","Vipr2"
"1409","Pgf","Flt1"
"1410","Pgf","Nrp1"
"1411","Pgf","Nrp2"
"1412","Plau","Plaur"
"1413","Podxl","Sell"
"1414","Podxl2","Sele"
"1415","Podxl2","Sell"
"1416","Podxl2","Selp"
"1417","Pvr","Cd96"
"1418","Pmch",""
"1419","Npy","Prlhr"
"1420","Hsd3b8","Pgr"
"1421","Gnrh1",""
"1422","","Gnrhr"
"1423","Akr1b1","Ptgfr"
"1424","Akr1cl","Ptgdr"
"1425","Akr1cl","Ptgdr2"
"1426","Akr1cl","Ptgfr"
"1427","Cbr1","Ptgfr"
"1428","Ptgds","Ptgdr"
"1429","Ptgds","Ptgdr2"
"1430","Ptges","Ptger1"
"1431","Ptges","Ptger2"
"1432","Ptges","Ptger3"
"1433","Ptges","Ptger4"
"1434","Ptges2","Ptger1"
"1435","Ptges2","Ptger2"
"1436","Ptges2","Ptger3"
"1437","Ptges2","Ptger4"
"1438","Ptges3","Ptger1"
"1439","Ptges3","Ptger2"
"1440","Ptges3","Ptger3"
"1441","Ptges3","Ptger4"
"1442","Rspo1","Lgr4"
"1443","Rspo1","Lgr5"
"1444","Rspo1","Lgr6"
"1445","Rspo2","Lgr4"
"1446","Rspo2","Lgr5"
"1447","Rspo2","Lgr6"
"1448","Rspo3","Lgr4"
"1449","Rspo3","Lgr5"
"1450","Rspo3","Lgr6"
"1451","Rspo4","Lgr4"
"1452","Rspo4","Lgr5"
"1453","Rspo4","Lgr6"
"1454","Reln","Lrp8"
"1455","Reln","Vldlr"
"1456","Aldh1a1","Rorb"
"1457","Aldh1a2","Rorb"
"1458","Aldh1a3","Rorb"
"1459","Rarres2","Ccrl2"
"1460","Sostdc1","Lrp5"
"1461","Sostdc1","Lrp6"
"1462","Sct","Vipr1"
"1463","Sct","Vipr2"
"1464","Sema3a","Nrp1"
"1465","Sema3c","Nrp2"
"1466","Sema3f","Nrp2"
"1467","Sema4a","Plxnd1"
"1468","Sema4d","Ptprc"
"1469","Ddc","Drd1"
"1470","Ddc","Drd2"
"1471","Ddc","Drd3"
"1472","Ddc","Drd4"
"1473","Ddc","Drd5"
"1474","Ddc","Htr1a"
"1475","Ddc","Htr1b"
"1476","Ddc","Htr1d"
"1477","Ddc",""
"1478","Ddc","Htr1f"
"1479","Ddc","Htr2a"
"1480","Ddc","Htr2b"
"1481","Ddc","Htr2c"
"1482","Ddc","Htr3a"
"1483","Ddc","Htr3b"
"1484","Ddc","Htr4"
"1485","Ddc","Htr5a"
"1486","Ddc","Htr6"
"1487","Ddc","Htr7"
"1488","Ddc","Taar1"
"1489","Slitrk1","Ptprd"
"1490","Slitrk1","Ptprs"
"1491","Slitrk2","Ptprd"
"1492","Slitrk2","Ptprs"
"1493","Slitrk3","Ptprd"
"1494","Slitrk4","Olr1"
"1495","Slitrk4","Ptprs"
"1496","Slitrk5","Ptprs"
"1497","Slitrk6","Ptprs"
"1498","Slit1","Robo1"
"1499","Slit2","Robo1"
"1500","Slit2","Robo2"
"1501","Shh","Hhip"
"1502","Sdc1","Adgra2"
"1503","Sdc2","Adgra2"
"1504","Tac1","Tacr3"
"1505","Tac2","Tacr1"
"1506","Tac2","Tacr2"
"1507","Tafa1","Gpr1"
"1508","Tafa4","Fpr1"
"1509","Tafa5","Fpr-Rs7"
"1510","Tafa5","S1pr2"
"1511","Tenm1","Adgrl1"
"1512","Tenm1","Adgrl2"
"1513","Tenm1","Adgrl3"
"1514","Tenm2","Adgrl1"
"1515","Tenm2","Adgrl2"
"1516","Tenm2","Adgrl3"
"1517","Tenm3","Adgrl1"
"1518","Tenm3","Adgrl2"
"1519","Tenm3","Adgrl3"
"1520","Tenm4","Adgrl1"
"1521","Tenm4","Adgrl2"
"1522","Tenm4","Adgrl3"
"1523","Akr1d1","Ar"
"1524","Tax1bp3","Adgrb1"
"1525","Tax1bp3","Adgrb2"
"1526","Tbxas1","Tbxa2r"
"1527","Thy1","Adgre5"
"1528","Trf","Tfr2"
"1529","Trf","Tfrc"
"1530","Tgfb1","Tgfbr3"
"1531","Tgfb2","Tgfbr3"
"1532","Tgfb3","Tgfbr3"
"1533","Cd160","Tnfrsf14"
"1534","Fasl",""
"1535","Tnfsf10","Tnfrsf11b"
"1536","Tnfsf12","Tnfrsf25"
"1537","Tnfsf14",""
"1538","Tnfsf15",""
"1539","Vegfa","Flt1"
"1540","Vegfa","Kdr"
"1541","Vegfa","Nrp1"
"1542","Vegfa","Nrp2"
"1543","Vegfb","Flt1"
"1544","Vegfb","Nrp1"
"1545","Vegfc","Flt4"
"1546","Vegfc","Kdr"
"1547","Vegfd","Flt4"
"1548","Vegfd","Kdr"
"1549","Vip","Adcyap1r1"
"1550","Vip","Sctr"
"1551","Avp","Oxtr"
"1552","Dkk1","Lrp5"
"1553","Dkk1","Lrp6"
"1554","Dkk2","Lrp6"
"1555","Wnt1","Cer1"
"1556","Wnt1","Frzb"
"1557","Wnt1","Sfrp1"
"1558","Wnt1","Sfrp2"
"1559","Wnt1","Sfrp4"
"1560","Wnt1","Sfrp5"
"1561","Wnt1","Wif1"
"1562","Wnt10a","Frzb"
"1563","Wnt11","Cer1"
"1564","Wnt11","Frzb"
"1565","Wnt11","Sfrp1"
"1566","Wnt11","Sfrp2"
"1567","Wnt11","Sfrp4"
"1568","Wnt11","Sfrp5"
"1569","Wnt11","Wif1"
"1570","Wnt16","Cer1"
"1571","Wnt16","Frzb"
"1572","Wnt16","Sfrp1"
"1573","Wnt16","Sfrp2"
"1574","Wnt16","Sfrp4"
"1575","Wnt16","Sfrp5"
"1576","Wnt16","Wif1"
"1577","Wnt2","Cer1"
"1578","Wnt2","Frzb"
"1579","Wnt2","Sfrp1"
"1580","Wnt2","Sfrp2"
"1581","Wnt2","Sfrp4"
"1582","Wnt2","Sfrp5"
"1583","Wnt2","Wif1"
"1584","Wnt2b","Cer1"
"1585","Wnt2b","Frzb"
"1586","Wnt2b","Sfrp1"
"1587","Wnt2b","Sfrp2"
"1588","Wnt2b","Sfrp4"
"1589","Wnt2b","Sfrp5"
"1590","Wnt2b","Wif1"
"1591","Wnt3","Cer1"
"1592","Wnt3","Frzb"
"1593","Wnt3","Sfrp1"
"1594","Wnt3","Sfrp2"
"1595","Wnt3","Sfrp4"
"1596","Wnt3","Sfrp5"
"1597","Wnt3","Wif1"
"1598","Wnt3a","Cer1"
"1599","Wnt3a","Frzb"
"1600","Wnt3a","Sfrp1"
"1601","Wnt3a","Sfrp2"
"1602","Wnt3a","Sfrp4"
"1603","Wnt3a","Sfrp5"
"1604","Wnt3a","Wif1"
"1605","Wnt4","Cer1"
"1606","Wnt4","Frzb"
"1607","Wnt4","Sfrp1"
"1608","Wnt4","Sfrp2"
"1609","Wnt4","Sfrp4"
"1610","Wnt4","Sfrp5"
"1611","Wnt4","Wif1"
"1612","Wnt5a","Cer1"
"1613","Wnt5a","Frzb"
"1614","Wnt5a","Ror1"
"1615","Wnt5a","Ror2"
"1616","Wnt5a","Sfrp1"
"1617","Wnt5a","Sfrp2"
"1618","Wnt5a","Sfrp4"
"1619","Wnt5a","Sfrp5"
"1620","Wnt5a","Wif1"
"1621","Wnt5b","Cer1"
"1622","Wnt5b","Frzb"
"1623","Wnt5b","Sfrp1"
"1624","Wnt5b","Sfrp2"
"1625","Wnt5b","Sfrp4"
"1626","Wnt5b","Sfrp5"
"1627","Wnt5b","Wif1"
"1628","Wnt6","Cer1"
"1629","Wnt6","Frzb"
"1630","Wnt6","Sfrp1"
"1631","Wnt6","Sfrp2"
"1632","Wnt6","Sfrp4"
"1633","Wnt6","Sfrp5"
"1634","Wnt6","Wif1"
"1635","Wnt7a","Cer1"
"1636","Wnt7a","Frzb"
"1637","Wnt7a","Sfrp1"
"1638","Wnt7a","Sfrp2"
"1639","Wnt7a","Sfrp4"
"1640","Wnt7a","Sfrp5"
"1641","Wnt7a","Wif1"
"1642","Wnt7b","Cer1"
"1643","Wnt7b","Frzb"
"1644","Wnt7b","Sfrp1"
"1645","Wnt7b","Sfrp2"
"1646","Wnt7b","Sfrp4"
"1647","Wnt7b","Sfrp5"
"1648","Wnt7b","Wif1"
"1649","Wnt8a","Cer1"
"1650","Wnt8a","Frzb"
"1651","Wnt8a","Sfrp1"
"1652","Wnt8a","Sfrp2"
"1653","Wnt8a","Sfrp4"
"1654","Wnt8a","Sfrp5"
"1655","Wnt8a","Wif1"
"1656","Wnt8b","Cer1"
"1657","Wnt8b","Frzb"
"1658","Wnt8b","Sfrp1"
"1659","Wnt8b","Sfrp2"
"1660","Wnt8b","Sfrp4"
"1661","Wnt8b","Sfrp5"
"1662","Wnt8b","Wif1"
"1663","Wnt9a","Cer1"
"1664","Wnt9a","Frzb"
"1665","Wnt9a","Sfrp1"
"1666","Wnt9a","Sfrp2"
"1667","Wnt9a","Sfrp4"
"1668","Wnt9a","Sfrp5"
"1669","Wnt9a","Wif1"
"1670","Wnt9b","Cer1"
"1671","Wnt9b","Frzb"
"1672","Wnt9b","Sfrp1"
"1673","Wnt9b","Sfrp2"
"1674","Wnt9b","Sfrp4"
"1675","Wnt9b","Sfrp5"
"1676","Wnt9b","Wif1"
"1677","Inhbc","Acvr2a"
"1678","Inhbc","Acvr2b"
"1679","Inhbe","Acvr2a"
"1680","Inhbe","Acvr2b"
"1681","Bst2","Pira12"
"1682","Cd1d2","Pirb"
"1683","Cd200","Cd200r1L"
"1684","Cd24a","Selp"
"1685","Cd248","Il6ra"
"1686","Cd274","Cd80"
"1687","Cd276","Treml2"
"1688","Cd320","Jaml"
"1689","Cd34","Sell"
"1690","Cd44","Sele"
"1691","Cd55","Adgre5"
"1692","","Cd2"
"1693","Cd80","Ngfr"
"1694","Cd93","Ifngr1"
"1695","Chl1","Chl1"
"1696","Chl1","L1cam"
"1697","Cntn1","Mcam"
"1698","Crtam","Cadm1"
"1699","Fgfr4","Tgfbr3"
"1700","Fth1","Scara5"
"1701","Ftl1","Scara5"
"1702","Hebp1","Fpr3"
"1703","Hfe","Tfrc"
"1704","Jag1","Cd46"
"1705","Jag1","Vasn"
"1706","Jag2","Vasn"
"1707","Klrb1a","Clec2f"
"1708","Lair1","Lilrb4b"
"1709","Lama2","Adgrg6"
"1710","Lcn2","Slc22a17"
"1711","Lrpap1","Sort1"
"1712","Mst1","Mst1r"
"1713","","Ncr3-Ps"
"1714","Nell2","Robo3"
"1715","Nsmf","Gnrhr"
