"","Ligand.gene.symbol","Receptor.gene.symbol"
"193","Ccl27a","Ccr10"
"194","Ccl27b","Ccr10"
"195","Ccl1","Ackr4"
"196","Ccl8","Ackr4"
"197","Ccl1","Ackr1"
"198","Ccl2","Ackr1"
"199","Ccl2","Ackr2"
"200","Ccl3","Ackr2"
"201","Ccl4","Ackr2"
"202","Ccl5","Ackr1"
"203","Ccl5","Ackr2"
"204","Ccl7","Ackr1"
"205","Ccl8","Ackr1"
"206","Ccl11","Ackr1"
"207","Ccl11","Ackr2"
"208","Ccl22","Ackr2"
"209","Ccl24","Ackr2"
"210","Ccl26","Ackr2"
"211","Ccl17","Ackr1"
"212","Ccl17","Ackr2"
"213","Cxcl1","Cxcr1"
"214","Cxcl5","Cxcr1"
"215","Cxcl2","Cxcr1"
"216","Cxcl3","Cxcr1"
"217","Cxcl1","Cxcr2"
"218","Cxcl5","Cxcr2"
"219","Cxcl2","Cxcr2"
"220","Cxcl3","Cxcr2"
"221","Ppbp","Cxcr2"
"222","Cxcl4","Cxcr3"
"223","Cxcl9","Cxcr3"
"224","Cxcl10","Cxcr3"
"225","Cxcl11","Cxcr3"
"226","Cxcl13","Cxcr3"
"227","Pf4","Cxcr3"
"228","Cxcl12","Cxcr4"
"229","Cxcl12","Ackr3"
"230","Cxcl13","Cxcr5"
"231","Cxcl16","Cxcr6"
"232","Cxcl1","Ackr1"
"233","Cxcl2","Ackr1"
"234","Cxcl3","Ackr1"
"235","Cxcl5","Ackr1"
"236","Cxcl9","Ackr1"
"237","Cxcl10","Ackr1"
"238","Cxcl11","Ackr1"
"239","Cxcl11","Ackr3"
"240","Cxcl13","Ackr1"
"241","Mif","Ackr3"
"242","Cx3cl1","Cx3cr1"
"243","Xcl1","Xcr1"
"244","Il4","Il4r"
"245","Il13","Il13ra1"
"246","Il13","Il13ra2"
"247","Il17b","Il17rb"
"248","Il34","Csf1r"
"249","Csf1","Csf1r"
"250","Il16","Cd4"
"251","Epo","Epor"
"252","Gh1","Ghr"
"253","Prl","Prlr"
"254","Thpo","Mpl"
"255","Csf3","Csf3r"
"256","Tnf","Tnfrsf1a"
"257","Tnf","Tnfrsf1b"
"258","Lta","Tnfrsf1a"
"259","Lta","Tnfrsf1b"
"260","Lta","Tnfrsf14"
"261","Tnfsf14","Ltbr"
"262","Tnfsf14","Tnfrsf14"
"263","Fasl","Fas"
"264","Tnfsf15","Tnfrsf25"
"265","Tnfsf10","Tnfrsf10b"
"266","Eda","Edar"
"267","Eda","Eda2r"
"268","Ngf","Ngfr"
"269","Klk1b4","Ngfr"
"270","Tnfsf11","Tnfrsf11a"
"271","Tnfsf11","Tnfrsf11b"
"272","Tnfsf12","Tnfrsf12a"
"273","Cd70","Cd27"
"274","Tnfsf8","Tnfrsf8"
"275","Tnfsf9","Tnfrsf9"
"276","Tnfsf4","Tnfrsf4"
"277","Tnfsf18","Tnfrsf18"
"278","Tnfsf13","Tnfrsf17"
"279","Tnfsf13","Tnfrsf13b"
"280","Tnfsf13b","Tnfrsf17"
"281","Tnfsf13b","Tnfrsf13b"
"282","Tnfsf13b","Tnfrsf13c"
"283","Spp1","Cd44"
"284","Adipoq","Adipor1"
"285","Adipoq","Adipor2"
"286","Retn","Tlr4"
"287","Retn","Cap1"
"288","Nampt","Insr"
"289","Angptl2","Tlr4"
"290","Angptl2","Pirb"
"291","Angptl1","Pirb"
"292","Angptl7","Pirb"
"293","Angptl4","Cdh5"
"294","Angptl4","Cdh11"
"295","Angptl4","Sdc1"
"296","Angptl4","Sdc2"
"297","Angptl4","Sdc3"
"298","Angptl4","Sdc4"
"299","Angpt1","Tek"
"300","Angpt2","Tek"
"301","Mdk","Sdc1"
"302","Mdk","Sdc2"
"303","Mdk","Sdc4"
"304","Mdk","Ptprz1"
"305","Mdk","Lrp1"
"306","Mdk","Ncl"
"307","Mdk","Alk"
"308","Ptn","Ptprz1"
"309","Ptn","Sdc1"
"310","Ptn","Sdc2"
"311","Ptn","Sdc3"
"312","Ptn","Sdc4"
"313","Ptn","Ncl"
"314","Ptn","Alk"
"315","Agt","Agtr1a"
"316","Agt","Agtr1b"
"317","Grp","Grpr"
"318","Nmb","Nmbr"
"319","Kng1","Bdkrb1"
"320","Kng1","Bdkrb2"
"321","Kng2","Bdkrb1"
"322","Kng2","Bdkrb2"
"323","C3","C3ar1"
"324","C3","Cr2"
"325","C4a","C3ar1"
"326","C4b","Cr2"
"327","Hc","C5ar1"
"328","Cck","Cckar"
"329","Cck","Cckbr"
"330","Edn1","Ednra"
"331","Edn2","Ednra"
"332","Edn3","Ednra"
"333","Edn1","Ednrb"
"334","Edn2","Ednrb"
"335","Edn3","Ednrb"
"336","Gal","Galr1"
"337","Gal","Galr2"
"338","Gal","Galr3"
"339","Galp","Galr1"
"340","Galp","Galr2"
"341","Ghrl","Ghsr"
"342","Kiss1","Kiss1r"
"343","Pomc","Mc1r"
"344","Pomc","Mc2r"
"345","Pomc","Mc3r"
"346","Pomc","Mc4r"
"347","Pomc","Mc5r"
"348","Nmu","Nmur1"
"349","Nmu","Nmur2"
"350","Nms","Nmur1"
"351","Nms","Nmur2"
"352","Npff","Npffr1"
"353","Npff","Npffr2"
"354","Npy","Npy1r"
"355","Npy","Npy2r"
"356","Npy","Npy4r"
"357","Npy","Npy5r"
"358","Npy","Npy6r"
"359","Npy","Gpr83"
"360","Npy","Pgr15l"
"361","Ppy","Npy1r"
"362","Ppy","Npy2r"
"363","Ppy","Npy4r"
"364","Ppy","Npy5r"
"365","Ppy","Npy6r"
"366","Ppy","Gpr83"
"367","Ppy","Pgr15l"
"368","Pyy","Npy1r"
"369","Pyy","Npy2r"
"370","Pyy","Npy4r"
"371","Pyy","Npy5r"
"372","Pyy","Npy6r"
"373","Pyy","Gpr83"
"374","Pyy","Pgr15l"
"375","Npb","Npbwr1"
"376","Npw","Npbwr1"
"377","Nts","Ntsr1"
"378","Nts","Ntsr2"
"379","Pdyn","Oprd1"
"380","Pdyn","Oprk1"
"381","Pdyn","Oprl1"
"382","Pdyn","Oprm1"
